$^あー……何と言ったかな……そうそう、(.+?)ちゃんだ。$	아―…… 뭐라고 말했을까나…… 그래그래, $1짱이다.
$^そう言いながら、(.+?)の脚にも力が入る。$	그렇게 말하면서, $1의 다리에도 힘이 들어간다.
$^(.+?)の脚が俺の腰に絡み付いて、離そうとしない。$	$1의 다리가 나의 허리에 휘감겨, 떼어 놓으려고 하지 않는다.
$^そんな(.+?)の様子に俺が生唾を飲みと、それに気付いたのか、\1の膣内がきゅうっと強く締まった。$	그런 $1의 모습에 내가 군침을 삼키면, 그것을 깨달았는지, $1의 질내가 꽈악 강하게 꼭 죄였다.
$^そんな(.+?)の様子に俺が生唾を飲みと、それに気付いたのか、\1のアソコがきゅうっと強く締まった。$	그런 $1의 모습에 내가 군침을 삼키면, 그것을 깨달았는지, $1의 거기가 꽈악 강하게 꼭 죄였다.
$^コクリと、小さくだが確かに、(.+?)は頷いた。$	끄덕 작지만 확실히, $1는 수긍했다.
$^熱っぽい吐息と共に、(.+?)がそう続ける。$	열정적인 한숨과 함께, $1가 그렇게 계속한다.
$^(.+?)はその感触に蕩けるような声を漏らし、お客様と過ごした濃密な時間を、赤裸々に告白し続けた。$	$1는 그 감촉에 녹는 것 같은 소리를 흘려, 손님과 보낸 진한 시간을, 적나라하게 계속 고백했다.
$^(.+?)はそんな俺を見て、不安そうな表情を浮かべていた。$	$1는 그런 나를 봐, 불안한 듯한 표정을 띄우고 있었다.
$^瞳を潤ませて許しを乞う(.+?)へと、俺は興奮のままに腰を動かしていく。$	눈동자를 물기를 띠게 해 허가를 청하는 $1으로, 나는 흥분대로 허리를 움직여 간다.
$^(.+?)が俺以外の人を、そんな風に求めるなんて……！$	$1가 나 이외의 사람을, 그런 식으로 요구하다니……!
$^(.+?)は謝りながら、快感に染まった声を響かせる。$	$1는 사과하면서, 쾌감에 물든 소리를 미치게 한다.
$^いや、許さないよ……(.+?)！$	아니, 허락하지 않아…… $1!
$^俺は(.+?)へと、思い切り唇を押し付ける。$	나는 $1으로, 마음껏 입술을 꽉 누른다.
$^十分に唇と舌を味わい、そして俺は(.+?)を見つめた。$	충분히 입술과 혀를 맛봐, 그리고 나는 $1을 응시했다.
$^(.+?)は俺のものでしょ？　だから他の男にされても、絶対になびいたりしないように、俺が一番だって躾けてあげるよ。$	$1는 나의 것이겠지? 그러니까 다른 남자로 되어도, 절대로 나부끼거나 하지 않도록, 내가 제일이라도 예의범절을 가르쳐 준다.
$^俺は興奮と嫉妬に煽られ、その感情のままに(.+?)を責め立てた。$	나는 흥분과 질투에 부추겨져 그 감정대로 $1를 몰아세웠다.
$^激しいというよりは、もう乱暴という域に入りそうな抽送で、(.+?)の膣内へと激しくペニスを出し入れさせる。$	격렬하다고 하는 것보다는, 이제(벌써) 난폭이라고 하는 역에 들어갈 것 같은 삽입질로, $1의 질내로 격렬하게 페니스를 출납시킨다.
$^激しいというよりは、もう乱暴という域に入りそうな抽送で、(.+?)のお尻へと激しくペニスを出し入れさせる。$	격렬하다고 하는 것보다는, 이제(벌써) 난폭이라고 하는 역에 들어갈 것 같은 삽입질로, $1의 엉덩이로 격렬하게 페니스를 출납시킨다.
$^ダメになっていいよ！　ほら、もっと俺のチンポを、(.+?)のオマンコに覚え込ませてあげるからね！$	안되게 되고 좋아! 이봐요, 좀 더 나의 자지를, $1의 보지에 확실히 익히게 해 주니까요!
$^(.+?)も俺の言葉にそう答えて、気持ち良さそうに喘ぎ始める。$	$1도 나의 말에 그렇게 대답해, 기분 좋은 것 같이 허덕이기 시작한다.
$^(.+?)はぎゅっと俺にしがみ付いて、そう淫らに喘ぐ。$	$1는 꽉 나로 해가 보고 붙어, 그렇게 추잡하게 허덕인다.
$^くぅっ……そろそろ出るよ、(.+?)！$	구…… 슬슬 나오는, $1!
$^俺が射精を告げると、(.+?)も淫らにそう答えてくる。$	내가 사정을 고하면, $1도 추잡하게 그렇게 대답해 온다.
$^(.+?)はその感触に強く反応し、絶頂の波に飲み込まれながら、いつまでも喘ぎ続けていた。$	$1는 그 감촉에 강하게 반응해, 절정의 물결에 삼켜지면서, 계속 언제까지나 허덕이고 있었다.
$^その射精が収まっても、(.+?)は大きく息を乱して、その体を痙攣させる。$	그 사정이 들어가도, $1는 크게 숨을 어지럽혀, 그 몸을 경련시킨다.
$^そんな(.+?)の姿に、俺の興奮が収まらない。$	그런 $1의 모습에, 나의 흥분이 들어가지 않는다.
$^(.+?)も、いつも以上に興奮しているようだった。$	$1도, 언제나 이상으로 흥분하고 있는 것 같았다.
$^甘ったるい声を漏らし、俺を見つめてくる(.+?)。$	달콤한 소리를 흘려, 나를 응시해 오는 $1.
$^そしてお客様との話を思い出し、更に嫉妬心を煽られて、俺は(.+?)を四つん這いにさせた。$	그리고 손님과의 이야기를 생각해 내, 더욱 질투심을 부추겨져, 나는 $1을 네발로 엎드림에 시켰다.
$^まだ鎮まらない余韻の中に居る(.+?)を、俺は容赦なく背後から貫く。$	아직 진정되지 않는 여운안에 있는 $1을, 나는 가차 없이 배후로부터 관철한다.
$^喘ぎ混じりにそう訴えてくる(.+?)に、俺はそのお尻を叩いてやる。$	허덕여 섞임에 그렇게 호소해 오는 $1에, 나는 그 엉덩이를 두드려 준다.
$^言い訳しようとする(.+?)のお尻を叩いて黙らせる。$	변명 하려고 하는 $1의 엉덩이를 두드려 입다물게 한다.
$^分かってくれれば良いんだよ、(.+?)は俺のものだからね……！$	알아 준다면 좋아, $1는 나의 것이니까……!
$^再び激しく腰を突き入れていくと、(.+?)は絶頂を叫びながら、そのまま達してしまった。$	다시 격렬하게 허리를 찔러 넣어 가면, $1는 절정을 외치면서, 그대로 달하게 되었다.
$^それでも俺は動きを止めず、そのまま更に(.+?)を責め続ける。$	그런데도 나는 움직임을 멈추지 않고, 그대로 더욱 $1을 계속 꾸짖는다.
$^(.+?)は息も絶え絶えになり、必死になって俺に懇願する。$	$1는 숨도 끊어질듯 끊어질듯하게 되어, 필사적으로 나에게 간원 한다.
$^俺は止めないという意思表示に(.+?)のお尻を叩き、胸の中に渦巻く欲望を、全て\1へとぶつけていく。$	나는 멈추지 않는다고 하는 의사 표시에 $1의 엉덩이를 두드려, 가슴안에 소용돌이치는 욕망을, 모두 $1로 부딪쳐 간다.
$^(.+?)はその激しさに飲み込まれ、ひたすら喘ぎながら、何度も何度も繰り返し絶頂を迎えていた。$	$1는 그 격렬함에 삼켜져 오로지 허덕이면서, 몇번이나 몇번이나 반복해 절정을 맞이하고 있었다.
$^くっ……ほら、出すよ！　ちゃんと受け止めて、(.+?)！$	구…… 이봐요, 낸다! 제대로 받아 들여, $1!
$^(.+?)はもう悲鳴にも似た喘ぎを漏らすことしか出来ず、俺の突き入れに翻弄され続ける。$	$1는 이제(벌써) 비명에도 닮은 허덕임을 흘릴 수 밖에 하지 못하고, 나의 찔러 넣음에 계속 희롱해진다.
$^最後は声も無く震え上がり、(.+?)はしっかりとそれを受け止めていた。$	최후는 소리도 없게 떨려, $1는 제대로 그것을 받아 들이고 있었다.
$^極度の興奮による大量の精液が、ペニスを通り抜けて、(.+?)の中を満たしていく。$	극도의 흥분에 의한 대량의 정액이, 페니스를 빠져 나가, $1안을 채워 간다.
$^そして長い射精が終わると、俺と(.+?)は互いに激しく呼吸を乱し、脱力してしまっていた。$	그리고 긴 사정이 끝나면, 나와 $1는 서로 격렬하게 호흡을 어지럽혀, 탈진해 버리고 있었다.
$^(.+?)はビク、ビクっと小さな痙攣を繰り返す。$	$1는 비크, 움찔 작은 경련을 반복한다.
$^そう宣言した通り、俺は朝まで(.+?)のことを抱き続けた。$	그렇게 선언한 대로, 나는 아침까지 $1의 일을 계속 안았다.
$^やぁ、(.+?)ちゃん。$	야아, $1짱.
$^お、お帰りなさい、お客様。今日指名を貰った、(.+?)よ。$	어서 오세요, 손님. 오늘 지명을 받은, $1야.
$^ふふ、そうだねぇ。恥ずかしいかい、(.+?)ちゃん？$	후후, 그렇네. 부끄러운지, $1짱?
$^……ふふ、その調子だよ、(.+?)ちゃん……$	…… 후후, 그 상태야, $1짱……
$^良く頑張ったね、(.+?)ちゃん。$	잘 노력했군요, $1짱.
$^ふふ、そうかもしれないね。(.+?)ちゃん、身体ほぐれたよね……？$	후후, 그럴지도 모른다. $1짱, 신체 풀렸네요……?
$^でも、イクときはちゃんと言わないとねぇ？　(.+?)ちゃん。$	그렇지만, 갈 때는 분명하게 말하지 않으면? $1짱.
$^はぁ……はぁ……すごい、よかったよ。(.+?)ちゃん……$	후~…… 하아…… 굉장해, 좋았어요. $1짱……
$^うん、よくできました。本当にえらいね、(.+?)ちゃんは。$	응, 잘 할 수 있었습니다. 정말로 대단하다, $1짱은.
$^ふと呼びかけられて振り返ると、(.+?)が俺を見詰めて立っている。$	문득 부를 수 있어 되돌아 보면, $1가 나를 응시해 서 있다.
$^そう答える(.+?)の表情は、どことなく嬉しそうだ。$	그렇게 대답하는 $1의 표정은, 어딘지 모르게 기쁜 듯하다.
$^(.+?)と二人きりで飲むのも悪くない。$	$1와 단 둘이서 마시는 것도 나쁘지 않다.
$^グラスを掲げて乾杯し、(.+?)の用意してくれた酒を飲む。$	글래스를 내걸어 건배 해, $1의 준비해 준 술을 마신다.
$^そうだね。(.+?)が頑張ってるところも、ちゃんと見てたよ。$	그렇네. $1가 노력하고 있는 곳도, 분명하게 보고 있었어.
$^お店のこと、仕事のこと、(.+?)のこと、俺のこと。$	가게의 일, 일의 일, $1의 일, 나의 일.
$^そんな会話の中で、(.+?)がふと寂しげな表情を浮かべた。$	그런 회화 중(안)에서, $1가 문득 외로운 듯한 표정을 띄웠다.
$^二人きりで会える時間は限られるが、許される限り(.+?)のことを抱いた。$	단 둘이서 만날 수 있는 시간은 한정되지만, 용서되는 한 $1의 일을 안았다.
$^それを思い出したのか、頬を赤らめて照れる(.+?)。$	그것을 생각해 냈는지, 뺨을 붉혀 수줍은 $1.
$^じとっとした瞳で、(.+?)は俺を見る。$	음습하게 한 눈동자로, $1는 나를 본다.
$^甘えるように見つめてくる(.+?)に、俺はその気持ちを感じ取る。$	응석부리도록(듯이) 응시해 오는 $1에, 나는 그 기분을 감지한다.
$^（可愛いな、(.+?)は……）$	(사랑스럽다, $1는……)
$^その隙に、俺は(.+?)の唇を奪った。$	그 틈에, 나는 $1의 입술을 빼앗았다.
$^少し驚いた(.+?)だったが、すぐに俺のキスを受け入れる。$	조금 놀란 $1이었지만, 곧바로 나의 키스를 받아들인다.
$^少し戸惑う(.+?)を、俺は優しく愛撫していく。$	조금 당황하는 $1을, 나는 상냥하게 애무해 나간다.
$^他に誰も居ないとはいえ、サロンでの愛撫に(.+?)は恥じらい、敏感に反応する。$	그 밖에 아무도 없다고는 해도, 살롱에서의 애무에 $1는 부끄러워해, 민감하게 반응한다.
$^(.+?)は涙目になりながら、もどかしげに俺を見詰めていた。$	$1는 눈물고인 눈이 되면서, 안타까운 듯하게 나를 응시하고 있었다.
$^絶頂寸前で止めらたことに、少し拗ねたような表情を見せつつ、(.+?)は素直に頷いていた。$	절정 직전에 멈춤등 연과에, 조금 등진 것 같은 표정을 보이면서, $1는 솔직하게 수긍하고 있었다.
$^俺の囁きに嬉しそうに微笑む(.+?)。$	나의 속삭임에 기쁜듯이 미소짓는 $1.
$^少し首を傾げつつ、(.+?)は俺の部屋へと向かった。$	조금 고개를 갸웃하면서, $1는 나의 방으로 향했다.
$^(.+?)は慌てて身を隠すが、指には秘部から流れた愛液が、ねっとりと絡まっていた。$	$1는 당황해 몸을 숨기지만, 손가락에는 비부[秘部]로부터 흐른 애액이, 끈적 얽히고 있었다.
$^……(.+?)はエッチだね。一人でしちゃってたんだ？　しかもお尻で……$	……$1는 엣치하다. 혼자서 해 버리고 있었던 것이야? 게다가 엉덩이로……
$^俺のその指摘に、(.+?)の顔が真っ赤に染まる。$	나의 그 지적에, $1의 얼굴이 새빨갛게 물든다.
$^拗ねたように唇を尖らせる(.+?)。$	등진 것처럼 입술을 뾰족하게 하는 $1.
$^俺はそれを察して、(.+?)と夜伽をする為に用意していたアナルバイブを取り出した。$	나는 그것을 헤아려, $1와 밤시중을 하기 위해서 준비해 있던 애널 바이브래이터를 꺼냈다.
$^(.+?)はそれを見て、頬を染めて躊躇いがちに口を開く。$	$1는 그것을 봐, 뺨을 물들여 주저하기 십상에 입을 연다.
$^もちろんだよ、(.+?)。$	물론이야, $1.
$^俺はそのアナルバイブを、(.+?)の中へと挿入した。$	나는 그 애널 바이브래이터를, $1안으로 삽입했다.
$^アナルバイブを出し入れさせ、(.+?)を責め立てていく。$	애널 바이브래이터를 출납시켜, $1를 몰아세워 간다.
$^(.+?)はその刺激に甘い喘ぎを漏らし、気持ち良さそうに高まっていった。$	$1는 그 자극에 달콤한 허덕임을 흘려, 기분 좋은 것 같이 높아지고 있었다.
$^アナルを責められることを恥らいつつ、(.+?)は甘えるように求めてくる。$	애널을 꾸짖을 수 있는 것을 부끄러워하면서, $1는 응석부리도록(듯이) 요구해 온다.
$^気持ち良さそうに喘ぎながら、(.+?)は素直に快感を認める。$	기분 좋은 것 같이 허덕이면서, $1는 솔직하게 쾌감을 인정한다.
$^そんな(.+?)が可愛らしくて、俺もついつい激しく責めてしまう。$	그런 $1이 사랑스러워서, 나도 무심코 격렬하게 꾸짖어 버린다.
$^もっと感じていいよ、(.+?)……！$	좀 더 느껴도 괜찮아, $1……!
$^興奮のままにバイブを操っていくと、既にオナニーで高まっていた(.+?)は、そのまま呆気なく昇り詰めてしまった。$	흥분대로 바이브래이터를 조종해 가면, 이미 자위로 높아지고 있던 $1은, 그대로 어이없게 끝까지 올라 버렸다.
$^ゆっくりと胸を隆起させ、絶頂の余韻に浸る(.+?)。$	천천히 가슴을 융기시켜, 절정의 여운에 잠기는 $1.
$^どうしたの、(.+?)？$	무슨 일이야, $1?
$^俺が尋ねると、(.+?)は恥ずかしそうに目を伏せてしまう。$	내가 물으면, $1는 부끄러운 듯이 눈을 숙여 버린다.
$^そんな(.+?)も可愛くて、俺は分かっていたけれど何も言わずに待っていた。$	그런 $1도 사랑스러워서, 나는 알고 있었지만 아무것도 말하지 않고 기다리고 있었다.
$^すると(.+?)は恥ずかしさが限界に達したのか、涙目になりながら訴えてくる。$	그러자 $1는 부끄러움이 한계에 이르렀는지, 눈물고인 눈이 되면서 호소해 온다.
$^もうすっかり硬くなっていたペニスを、俺は(.+?)のアナルへ押し込んだ。$	이제(벌써) 완전히 딱딱해지고 있던 페니스를, 나는 $1의 애널에 밀어넣었다.
$^甘えた声で素直に喜びを口にする(.+?)。$	응석부린 소리로 솔직하게 기쁨을 말하는 $1.
$^(.+?)のアナルも、凄く気持ち良いよ……！$	$1의 애널도, 굉장히 기분 좋아……!
$^アナルの快感ばかり口にする(.+?)を見て、バイブのスイッチを入れた。$	애널의 쾌감만 말하는 $1을 봐, 바이브래이터의 스윗치를 넣었다.
$^その刺激に(.+?)も感じているが、何となくいつもと違う。$	그 자극에 $1도 느끼고 있지만, 왠지 모르게 평상시와 다르다.
$^俺がそう尋ねてみると、(.+?)は迷わず答えた。$	내가 그렇게 물어 보면, $1는 헤매지 않고 대답했다.
$^……変態だね、(.+?)は。$	…… 변태구나, $1는.
$^俺がそう呟くと、(.+?)は恍惚とした表情で頷いていた。$	내가 그렇게 중얼거리면, $1는 황홀로 한 표정으로 수긍하고 있었다.
$^アナルの方が好きな(.+?)は、しきりにそう求めてくる。$	애널을 좋아하는 $1은, 끊임없이 그렇게 요구해 온다.
$^アナルの締め付けに反応し、俺のペニスが震えると、(.+?)はそう尋ねてくる。$	애널의 단단히 조여에 반응해, 나의 페니스가 떨리면, $1는 그렇게 물어 온다.
$^(.+?)のそんな姿に、俺も堪らなくなっていた。$	$1의 그런 모습에, 나도 견딜 수 없게 되고 있었다.
$^改めて腰を動かし、(.+?)のアナルを責めていく。$	재차 허리를 움직여, $1의 애널을 꾸짖어 간다.
$^気持ち良さそうに感じつつ、(.+?)はそう聞いてくる。$	기분 좋은 것 같이 느끼면서, $1는 그렇게 (들)물어 온다.
$^そうだね、こんなに気持ち良いのは、(.+?)だけだよ。$	그렇다, 이렇게 기분 좋은 것은, $1뿐이야.
$^俺のその答えに満足すると、(.+?)は再びアナルセックスに没頭していった。$	나의 그 대답해에 만족하면, $1는 다시 애널 섹스에 몰두해 갔다.
$^……凄く締まるよ、(.+?)……！$	…… 굉장히 꼭 죄이는, $1……!
$^出すよ、(.+?)。$	쌀게, $1.
$^俺の射精を知ると、(.+?)は嬉しそうにそう求めてくる。$	나의 사정을 알면, $1는 기쁜듯이 그렇게 요구해 온다.
$^だが、そんなことは気にならないくらい、(.+?)とのアナルセックスは気持ち良かった。$	하지만, 그런 일은 신경이 쓰이지 않을 정도, $1와의 애널 섹스는 기분 좋았다.
$^俺の射精と同時に、(.+?)も再び絶頂へと昇り詰める。$	나의 사정과 동시에, $1도 다시 절정으로 끝까지 오른다.
$^(.+?)のアナルは強く収縮して、俺の精液をしっかりと搾り取っていった。$	$1의 애널은 강하게 수축해, 나의 정액을 제대로 짜내 갔다.
$^恍惚とした表情で、(.+?)がうっとりとそう呟く。$	황홀로 한 표정으로, $1가 넋을 잃고그렇게 중얼거린다.
$^すると(.+?)は恥じらいつつも、熱っぽく俺を見詰めて呟く。$	그러자 $1는 부끄러워하면서도, 열정적이게 나를 응시해 중얼거린다.
$^満足気な表情を浮かべる(.+?)に、俺も頷き返していた。$	만족기분인 표정을 띄우는 $1에, 나도 수긍해 돌려주고 있었다.
$^そして余韻に浸りながら、(.+?)が俺に甘えてくる。$	그리고 여운에 잠기면서, $1가 나에게 응석부려 온다.
$^俺がそう答えてやると、(.+?)は嬉しそうに微笑むのだった。$	내가 그렇게 대답하여 주면, $1는 기쁜듯이 미소짓는 것이었다.
$^このところ、妙に(.+?)からの視線を感じることが多い。$	요즈음, 묘하게 $1로부터의 시선을 느끼는 것이 많다.
$^いやぁ、(.+?)君と話してると、時間が経つのを忘れちゃうなぁ。$	아니, $1군과 이야기하고 있으면, 시간이 지나는 것을 잊어 버리는구나.
$^さりげなく様子を窺うと、やっぱり(.+?)だった。$	자연스럽게 모습을 엿보면, 역시 $1였다.
$^(.+?)君、どうかしたのかね？$	$1군, 어떻게든 했는지?
$^やっぱり(.+?)は、俺のことを見てるな。$	역시 $1는, 나의 일을 보고 있구나.
$^後で(.+?)に聞いてみよう。$	다음에 $1에 들어 보자.
$^どうして俺のことを見ているのか、(.+?)に尋ねてみるしかない。$	어째서 나의 일을 보고 있는지, $1에게 물어 볼 수 밖에 없다.
$^あの視線の意味を尋ねる為に、俺は(.+?)をバーに呼び出した。$	그 시선의 의미를 묻기 위해서(때문에), 나는 $1을 바에 호출했다.
$^二人きりで落ち着いて話せるほうが、(.+?)も打ち明け易いだろう。$	단 둘이서 침착해 이야기할 수 있는 편이, $1도 털어 놓고 쉬울 것이다.
$^そう思いながら待っていると、(.+?)がバーへとやって来た。$	그렇게 생각하면서 기다리고 있으면, $1가 바로 왔다.
$^(.+?)が近付くと、ふとボディソープの良い香りがした。$	$1가 가까워지면, 문득 보디 소프가 좋은 향기가 났다.
$^そう言って(.+?)はほんのりと頬を赤らめた。$	그렇게 말해 $1는 어렴풋이 뺨을 붉혔다.
$^俺のことを意識している(.+?)に、そう言いながら微笑む。$	나의 일을 의식하고 있는 $1에, 그렇게 말하면서 미소짓는다.
$^すると(.+?)は更に頬を赤らめ、慌てて髪を直し始めた。$	그러자 $1는 더욱 뺨을 붉혀, 당황해 머리카락을 고치기 시작했다.
$^慌てる(.+?)が本当に可愛いかった。$	당황하는 $1이 정말로 사랑스러웠다.
$^髪を直した(.+?)が、躊躇いがちにそう聞いてくる。$	머리카락을 고친 $1이, 주저하기 십상에 그렇게 (들)물어 온다.
$^最近、(.+?)の視線を感じるんだけど……何か悩み事でもあった？　あるなら聞くよ。俺は\1のご主人様だからね。$	최근, $1의 시선을 느끼지만…… 뭔가 고민스런 일이기도 했어? 있다면 (듣)묻는다. 나는 $1의 주인님이니까.
$^それに(.+?)は俺にとって、特別な存在でもある。$	거기에 $1는 나에게 있어, 특별한 존재이기도 하다.
$^あれだけ目が合ったのに、(.+?)はしらばっくれるつもりなのか。$	그토록 시선이 마주쳤는데, $1는 시치미 뗄 생각인가.
$^やはり(.+?)には、何か悩んでいることがあるようだ。$	역시 $1에는, 뭔가 고민하고 있는 일이 있는 것 같다.
$^それでも、ひとつ深呼吸をした(.+?)はゆっくりと口を開いた。$	그런데도, 하나 심호흡을 한 $1은 천천히 입을 열었다.
$^(.+?)は慌てて否定する。$	$1는 당황해 부정한다.
$^(.+?)は、俺をじっと見つめては、視線を逸らしてを繰り返す。$	$1는, 나를 가만히 응시해서는, 시선을 피해를 반복한다.
$^気恥ずかしそうな(.+?)の表情。$	부끄러운 것 같은 $1의 표정.
$^(.+?)がそう言うのなら、その時を待つとしよう。$	$1가 그렇게 말한다면, 그 때를 기다린다고 하자.
$^いつも頑張ってくれてる(.+?)に、俺のとっておきをご馳走するよ。マスター、俺と同じやつを。$	언제나 노력해 주고 있는 $1에, 내가 잡아 먼 바다를 대접한다. 마스터, 나와 같은 녀석을.
$^俺のお気に入りのお酒を注文すると、(.+?)は遠慮がちに尋ねてくる。$	나의 마음에 드는 술을 주문하면, $1는 사양 십상으로 물어 온다.
$^話は聞けなかったけれど、思い悩んでいるという感じでもないし、今日は(.+?)と一緒にお酒でも飲もう。$	이야기는 들을 수 없었지만, 괴로워하고 있다고 하는 느낌도 아니고, 오늘은 $1과 함께 술이라도 마시자.
$^でも(.+?)と二人で飲むお酒は楽しかった。$	그렇지만 $1과 둘이서 마시는 술은 즐거웠다.
$^(.+?)もそうだったようで、ほろ酔いで微笑んでいる。$	$1도 그렇고 같아서, 거나하게 취해 미소짓고 있다.
$^俺がそう言いかけると、(.+?)の顔が酔いとは別の意味で赤くなった。$	내가 그렇게 말해 걸치면, $1의 얼굴이 취기와는 다른 의미로 붉어졌다.
$^どうやら(.+?)も、その気になっていたようだ。$	아무래도 $1도, 그럴 기분이 들고 있던 것 같다.
$^(.+?)も準備してくれてたみたいだし、二人きりになれる場所へ行こうか……？$	$1도 준비해 주고 있던 것 같고, 단 둘이 될 수 있는 장소에 갈까……?
$^俺がそう誘うと、(.+?)はゆっくりと頷いた。$	내가 그렇게 권하면, $1는 천천히 수긍했다.
$^ふぅ……今日は(.+?)に任せるよ。$	…… 오늘은 $1에 맡긴다.
$^少し照れつつも、(.+?)は嬉しそうに頷く。$	조금 수줍으면서도, $1는 기쁜듯이 수긍한다.
$^そう言いながら、(.+?)が近付いてくる。$	그렇게 말하면서, $1가 가까워져 온다.
$^このまま(.+?)に全てを任せて、甘い奉仕を受けるのもいい。$	이대로 $1에 모두를 맡겨, 달콤한 봉사를 받는 것도 좋다.
$^しかし、もう少し(.+?)との距離が近付くような、そんなことは出来ないかな。$	그러나, 좀 더 $1와의 거리가 가까워지는 것 같은, 그런 일은 할 수 없을까.
$^（さっきのバーでの(.+?)は、いまいち俺に踏み込めてないような、そんな感じだったんだよな……）$	(조금 전의 바에서의 $1는, 좀 더 나가 발을 디딜 수 있지 않는 것 같은, 그런 느낌이었던 것이구나……)
$^勝ち気な(.+?)は、自分でなんとかしようとする。$	지기 싫어하는 성질인 $1은, 스스로 어떻게든 하려고 한다.
$^……ねえ、(.+?)。確か俺のことを詰るような夜伽も上手だったよね？$	…… 저기, $1. 확실히 나의 일을 따지는 것 같은 밤시중도 능숙했죠?
$^(.+?)は俺の要求に合わせて、詰るような夜伽の腕をあげていた。$	$1는 나의 요구에 맞추어, 따지는 것 같은 밤시중의 팔을 들고 있었다.
$^うん。(.+?)が俺をどう苛めるのか、ちょっと興味があるな。$	응. $1가 나를 어떻게 괴롭히는지, 조금 흥미가 있구나.
$^(.+?)は戸惑いつつも、興味津々といった感じだ。$	$1는 당황하면서도, 흥미진진이라고 하는 느낌이다.
$^小さく、艶かしく微笑む(.+?)。$	작고, 요염하게 미소짓는 $1.
$^積極的な(.+?)のことも好きだから、お願いしたいな。どう？$	적극적인 $1의 일도 좋아하기 때문에, 부탁하고 싶은데. 어때?
$^まだ少し戸惑いつつも、(.+?)は了承してくれた。$	아직 조금 당황하면서도, $1는 승낙해 주었다.
$^問い掛けると、(.+?)は俺の顔を見つめてくる。$	물으면, $1는 나의 얼굴을 응시해 온다.
$^そしてゆっくりと深呼吸して、ひとつ息を吐き出すと、(.+?)の表情が少し変わった。$	그리고 천천히 심호흡 해, 하나 숨을 내쉬기 시작하면, $1의 표정이 조금 바뀌었다.
$^微妙な(.+?)の変化に期待が高まる。$	미묘한 $1의 변화에 기대가 높아진다.
$^蔑むような瞳で、ペニスを握りしめる(.+?)。$	업신여기는 것 같은 눈동자로, 페니스를 꽉 쥐는 $1.
$^(.+?)の手が段々と、小気味よくペニスを扱き始める。$	$1의 손이 점점, 기분 좋게 페니스를 잡아당기기 시작한다.
$^俺の興奮も高まってカウパーが滲み、(.+?)の指がそれを塗り広げていた。$	나의 흥분도 높아져 쿠퍼가 스며들어 $1의 손가락이 그것을 펴바르고 있었다.
$^(.+?)も調子が乗ってきたようで、よどみなく言葉が出てくる。$	$1도 상태가 타 온 것 같아, 막힘 없게 말이 나온다.
$^(.+?)自身、かなり興奮してきている様子だった。$	$1자신, 꽤 흥분해 오고 있는 모습이었다.
$^(.+?)の手付きは容赦がなくて、我慢していないと呆気なく射精してしまいそうだ。$	$1의 손놀림은 용서가 없어서, 참지 않았다고 어이없게 사정해 버릴 것 같다.
$^射精感を高まらせていく俺を、(.+?)は詰るように煽りながら、激しくペニスを扱く。$	사정감을 높아지게 해 가는 나를, $1는 따지도록(듯이) 부추기면서, 격렬하게 페니스를 잡아당긴다.
$^勢いよく溢れ出した精液が、(.+?)の顔へと飛び散る。$	힘차게 흘러넘치기 시작한 정액이, $1의 얼굴로 흩날린다.
$^俺の精液で顔を汚した(.+?)が、妖艶な笑みを浮かべて俺を見詰める。$	나의 정액으로 얼굴을 더럽힌 $1이, 요염한 미소를 띄워 나를 응시한다.
$^(.+?)は精液の匂いでさらに興奮したのか、瞳を潤ませる。$	$1는 정액의 냄새로 한층 더 흥분했는지, 눈동자를 물기를 띠게 한다.
$^はぁ、はぁ、と吐息を零し、(.+?)は俺の様子を伺う。$	후~, 하아, 라고 한숨을 흘려, $1는 나의 모습을 묻는다.
$^そう言って、(.+?)は体勢を変える。$	그렇게 말해, $1는 몸의 자세를 바꾼다.
$^そう言って(.+?)が、ペニスの先端に軽く息を吹きかける。$	그렇게 말해 $1가, 페니스의 첨단에 가볍게 입김을 내뿜는다.
$^(.+?)の胸は柔らかく、その肌はとても滑らかだ。$	$1의 가슴은 부드럽고, 그 피부는 매우 매끄럽다.
$^はぁ、はぁ……うぅ……(.+?)……$	후~, 하아…… 우우…… $1……
$^笑いながら俺を罵る(.+?)の姿に、背筋がゾクゾクと震える。$	웃으면서 나를 매도하는 $1의 모습에, 등골이 오슬오슬 떨린다.
$^淫猥な音が響き、どろどろと(.+?)の胸が俺の先走りで濡れていく。$	음탕한 소리가 울려, 질척질척 $1의 가슴이 나의 앞달리기로 젖어 간다.
$^うぅっ……(.+?)……凄いな……$	우읏…… $1…… 굉장한데……
$^俺の声を聞いて、(.+?)は得意そうな表情を浮かべた。$	나의 소리를 들어, $1는 자신있을 것 같은 표정을 띄웠다.
$^そう言いながらも、(.+?)は強く胸を擦りつけてくる。$	그렇게 말하면서도, $1는 강하게 가슴을 문질러 온다.
$^(.+?)の胸には、先走りのカウパーが塗りたくられている。$	$1의 가슴에는, 앞달리기의 쿠퍼가 쳐발라지고 있다.
