$^遠いところありがとうね、(.+?)くん。$	먼 곳까지 와줘서 고마워요, $1군.
$^(.+?)、化粧品は足りてる？　遠慮なく使っていいからね。$	$1, 화장품은 충분해? 사양말고 써도 되니까.
$^特に(.+?)にはね？$	특히 $1에게는 말야?
$^はは、どうせ消耗品だから。どうせなら(.+?)の肌を大事にしてよ。$	하하, 어차피 소모품이니까. 이왕이면 $1의 피부를 소중하게 해줘.
$^(.+?)、もう終わった？$	$1, 벌써 끝났어?
$^可愛いよ。(.+?)はもともと可愛いけど、大人びて見える。素敵だよ。$	사랑스러워. $1는 원래 사랑스러운데, 지금은 어른스러워 보여. 멋지네.
$^え？　耐えられないって何に？　今(.+?)、エステを受けてるだけでしょ？$	에? 못 참겠다니 뭐가? 지금 $1, 에스테틱을 받고 있는 것 뿐이지?
$^慣れていないというか……(.+?)、なんだかいやらしい想像してない？　もしかして。$	익숙하지 않다고 할까……$1, 뭔가 야한 상상을 하고 있지 않아? 혹시.
$^(.+?)は可愛いなぁ。まあ、冗談だから気にしないで、ゆっくりエステを続けてよ。$	$1는 귀엽네. 뭐, 농담이니까 신경쓰지 말고, 느긋하게 에스테틱을 계속해.
$^ごめんごめん、(.+?)の反応が面白くて、ついついね。それじゃ、俺はお暇するよ。$	미안 미안, $1의 반응이 재밌어서, 나도 모르게 말야. 그럼, 나는 이만.
$^遠慮されても困るよ、(.+?)。そんな気遣いはいいから、しっかり綺麗になってよね。$	사양해도 곤란해, $1. 그런 걱정은 됐으니까, 더 예쁘게 되자.
$^ご主人様の俺がいいって言ってるんだから、何も問題なんてないよ。(.+?)が気にする事じゃないさ。$	주인님인 내가 좋다고 말하고 있잖아, 아무 문제 없어. $1가 신경쓸 일이 아냐.
$^そうそう。わかってきたじゃないか、(.+?)。$	그래 그래. 알게 되었네, $1.
$^どうしたの、(.+?)。もしかして、エステで感じるの？$	왜 그래, $1. 혹시, 에스테틱으로 느끼는 거야?
$^(.+?)が本当の事を言ってくれたら、俺も嬉しいだけどなぁ……$	$1가 진심을 말해 줬으면, 나도 기쁠텐데……
$^そっか。(.+?)がそうまで言うなら信じるよ。疑ってごめんね。$	그래. $1가 그렇게까지 말한다면 믿을게. 의심해서 미안해.
$^ん？　どうしたの、(.+?)。$	응? 왜 그래, $1.
$^え、冗談のつもりだったんだけど……。そこまで言われると、もう(.+?)の身体に触れざるを得ない気持ちになるな……$	에, 농담이었는데……. 그렇게 까지 말해주면, 이제 $1의 몸을 만지지 않으면 안되는 기분이 되네……
$^ふぅん……。絶対に耐えられないんだ？　今、(.+?)は……俺に触られると、絶対に耐えられない……$	흐음……. 절대로 못 참는다? 지금 $1는…… 내게 만져지면, 절대로 못 참는구나……
$^恥ずかしがっている(.+?)を見てると、こう……少しだけでもつついたりしたくなるなぁ……$	부끄러워하고 있는 $1를 보고 있으니, 이렇게…… 조금이라도 쿡쿡 찌르거나 하고 싶어지네……
$^反応が楽しい。真面目な(.+?)がくすぐったくて笑い転げるところなんて、いつでも見られるものじゃないからね。$	반응이 즐거워. 성실한 $1가 간지러워서 웃는 건, 언제든지 볼 수 있는 게 아니니까 말야.
$^確かに俺も恥ずかしいけど、(.+?)も一緒に恥ずかしい。ほら、誰も不幸じゃない。$	확실히 나도 부끄럽지만, $1도 같이 부끄러워. 봐, 아무도 불행하지 않아.
$^うん、だから(.+?)をからかってるんだけど。$	응, 그래서 $1를 놀리고 있는데.
$^はは、あ、でも(.+?)。あんまり気を緩めると……$	하하, 아, 그래도 $1. 너무 긴장을 풀면……
$^それでも嬉しいよ。ありがとう、(.+?)。$	그래도 기뻐. 고마워, $1.
$^そっか。それじゃあ(.+?)は、そのままどんどん綺麗になってね。$	그래. 그럼 $1는, 그대로 계속 예뻐져.
$^あぁ、大丈夫だよ。今(.+?)は、綺麗になるためにエステを受けてるんだからさ。$	아아, 괜찮아. 지금 $1는, 예쁘게 되려고 에스테틱을 받고 있는 거니까 말야.
$^遠慮なんかする必要はないよ。ダメならそもそも、(.+?)にエステなんかさせてないしさ。$	사양같은 거 할 필요 없어. 안 되는 거면 애초에, $1에게 에스테틱은 시키지 않았겠지.
$^いや、平気だよ。というか、真面目な(.+?)らしい気遣いだなって感心したところ。さすが、俺のメイドだって誇らしい気分だよ。$	아니, 괜찮아. 라고 할까, 성실한 $1다운 걱정이다 하고 감탄했어. 역시, 내 메이드라서 자랑스러운 기분이야.
$^ふふ、エッチな声だね、(.+?)。$	후후, 야한 목소리네, $1.
$^そんな、幻滅だなんてするわけないよ。むしろ、(.+?)の可愛い声が聞けてラッキーだなって思ってるくらい。$	그런, 실망이라니 할 리가 없어. 오히려, $1의 사랑스러운 목소리를 들을 수 있어 럭키-라고 생각하고 있을 정도야.
$^え？　別にいいじゃないか。(.+?)は、俺に喜んでもらえるのが嬉しい。俺は、可愛い\1が見られて嬉しい。$	에? 어차피 좋잖아. $1는, 내가 기뻐해 주는 게 기쁘다. 나는, 사랑스러운 $1를 볼 수 있어서 기쁘다.
$^(.+?)がどうしてもイヤっていうなら、エステ中に見たりしないけどね。\1を悲しませたいわけじゃないから。$	$1가 아무래도 싫다고 한다면, 에스테틱 중에 보거나 하지 않을게. $1를 슬프게 하고 싶은 건 아니니까.
$^じゃあ、(.+?)の恥ずかしいところも見てていいでしょ？$	그럼, $1의 부끄러운 모습을 봐도 되지?
$^うぅん……そんなつもりはないんだけどね。(.+?)が可愛いから、ついついそうしちゃうんだよ。$	으음…… 그럴 생각은 없는데 말야. $1가 사랑스러우니까, 나도 모르게 그렇게 해 버리는 거야.
$^うぅん、俺はいいかな。(.+?)が綺麗になった方が嬉しいしね。$	으음, 나는 됐으려나. $1가 예쁘게 되는 게 더 기쁘고.
$^そうだね。でも、男もエステか。考えた事もなかったな……(.+?)は、俺にエステに行ってほしい？$	그렇네. 그치만, 남자가 에스테틱인가. 생각한 적 없었어……$1는, 내가 에스테틱을 하면 좋아?
$^そうか。それじゃ今度、(.+?)と一緒にエステしてみようかな？$	그런가. 그럼 이번에, $1랑 같이 에스테틱을 해 볼까?
$^エステ気持ち良い、(.+?)？$	에스테틱 기분 좋아, $1?
$^……(.+?)、なんだかシンデレラみたいだね。$	……$1, 뭔가 신데렐라 같네.
$^うんうん。人目があろうがなかろうが頑張っている(.+?)には、いつか夢を叶えてくれる魔女がやってきてくれるよ。$	응 응. 남의 눈이 있든지 없든지 노력하는 $1에게는, 언젠가 꿈을 이뤄주는 마녀가 와 줄 거야.
$^ああ。頑張ってる(.+?)が報われないのはイヤだからね。$	아아. 노력하고 있는 $1가 보답받지 못하는 건 싫으니까 말야.
$^(.+?)はそんな感じだよね。大丈夫、俺は\1の頑張りをちゃんと見てるから。$	$1는 그런 느낌이지. 괜찮아, 나는 $1가 열심히 하는 걸 제대로 보고 있으니까.
$^いやぁ、それは大丈夫。(.+?)の事、信じてるから。$	아니, 그건 괜찮아. $1를, 믿고 있으니까.
$^俺は数々のメイドの中から、(.+?)を見つけるわけだ。それは大変そうだ。$	난 많은 메이드들 중에서, $1를 찾아내는 거야. 그건 큰일이겠네.
$^お、(.+?)が掃除してる……。ふふ、なんだか一生懸命頑張ってるな。$	어, $1가 청소하고 있어……. 후후, 뭔가 열심히 하고 있네.
$^(.+?)、結構独り言多いな……$	$1, 꽤나 혼잣말이 많네……
$^おーい、(.+?)。$	어~이, $1.
$^あの、(.+?)……？$	저기, $1……?
$^洗濯、楽しい？　(.+?)。$	빨래, 즐거워? $1.
$^それに、(.+?)が頑張って洗濯してくれたんだって思うと、余計にね。$	그리고, $1가 열심히 빨래를 해줬다고 생각하면, 더더욱.
$^あれ、どうしたの、(.+?)。$	어라, 왜 그래, $1.
$^なんだか(.+?)らしいな。$	뭔가 $1답네.
$^(.+?)の方の好きなやり方でやればいいと思うよ。$	$1가 좋아하는 방식으로 하면 된다고 생각해.
$^でも(.+?)は、どうしてそんな風に思ったの？$	그런데 $1는, 왜 그런 식으로 생각했어?
$^(.+?)は真面目だし、優しいからね。よくわかるよ。$	$1는 성실하고, 상냥하니까 말야. 잘 알아.
$^そっか。それで、(.+?)はどうするつもりなの？$	그래. 그래서, $1는 어떻게 할 생각이야?
$^ふふ、なんだか(.+?)らしいな。それじゃ、その調子でこれからもよろしくね。$	후후, 뭔가 $1답네. 그럼, 그렇게 앞으로도 잘 부탁해.
$^やあ、(.+?)。モップ掛けする姿が絵になるね……いかにもメイドさんって感じだね。$	이야, $1. 걸레질 하는 모습이 그림같네…… 그야말로 메이드라는 느낌이네.
$^そんな、気にしないでよ。(.+?)はいつも通り、仕事していて。$	그런, 신경쓰지 마. $1는 평소처럼 일하고 있어.
$^俺は楽しいから大丈夫。(.+?)はそのまま、掃除を続けて。$	난 즐거우니까 괜찮아. $1는 그대로 청소를 계속해.
$^うん、さっきまでちゃんと干していたからね。(.+?)って、洗濯は好きなのかな？$	응, 방금까지 잘 널어 뒀으니까. $1는 빨래를 좋아해?
$^(.+?)が楽しんで仕事をしてくれているみたいで、俺も嬉しいよ。$	$1가 즐겁게 일을 해 주고 있는 것 같아서, 나도 기뻐.
$^いやいや、是非(.+?)にやってほしい。俺も、その方が嬉しいし。$	아니 아니, 꼭 $1가 해주면 좋겠어. 나도 그 쪽이 기쁘고.
$^だ、大丈夫、(.+?)？　長い間、頑張ってるみたいだけど……$	괘, 괜찮아, $1? 너무 오래 열심히 하는 거 같은데……
$^それはそうだけどさ。頑張る(.+?)は素敵だけど……身体、壊さないように気を付けてね。$	그건 그렇지만 말야. 열심히 하는 $1는 멋지지만…… 몸이 상하지 않게 조심해.
$^そりゃ気に掛けるよ。(.+?)は俺にとって、大切なメイドだからね。$	그럼 걱정할래. $1는 나에게 있어서, 소중한 메이드니까.
$^いや、なんだか(.+?)を見てたら、俺もしたくなってさ。$	아니, 왠지 $1를 보고 있으면, 나도 하고 싶어져서 말야.
$^わかったよ。それじゃここは、(.+?)に綺麗にしてほしい。$	알았어. 그럼 여기는, $1가 깨끗하게 해줬으면 좋겠어.
$^やあ、(.+?)。なんだかずいぶん楽しそうだね。$	이야, $1. 뭔가 되게 즐거워 보이네.
$^(.+?)はいじらしいな。そんな風に言われたら、ドキドキしちゃうじゃないか。$	$1는 기특하네. 그런 식으로 말하면, 두근두근해 버리잖아.
$^それじゃ、俺も(.+?)も、お互いがいて幸せってわけだね。$	그럼, 나도 $1도, 서로가 있어서 행복하다는 거네.
$^(.+?)、大胆だね。\1の気持ちはわかったけど、とりあえず今は仕事を続けてくれ。$	$1, 대담하네. $1의 기분은 알겠지만, 일단 지금은 일을 계속해 줘.
$^あれ、(.+?)。なんだか大変そうだね。$	어라, $1. 힘들겠네.
$^そうだね。俺が余計な事したら、むしろ(.+?)に迷惑が掛かっちゃうよね。$	그렇네. 내가 쓸데없는 짓을 하면, 오히려 $1에게 실례가 되어 버리네.
$^いや、そういうわけじゃないけど……。(.+?)を助けてあげられたらなって思ってさ。$	아니, 그런 건 아니지만……. $1를 도와 줄 수 있으면 좋겠다고 생각해서 말야.
$^まあ、(.+?)はメイドだからね。助けてくれなかったら、むしろ悲しいかも。$	뭐, $1는 메이드니까. 도와주지 않으면 오히려 슬플지도.
$^(.+?)は本当、仕事熱心だね。メイドの鑑だよ。$	$1는 정말 열심히 하네. 메이드의 귀감이야.
$^そうかな？　(.+?)の頑張りを見ていたら、それくらいの言葉、当然のように思えるけど。$	그런가? $1가 열심히 하는 걸 보고 있으면, 그 정도는, 당연하다고 생각하는데.
$^真面目だね、(.+?)は。それじゃ俺はそろそろ行くけど……$	성실하네, $1는. 그럼 난 슬슬 가볼게……
$^(.+?)、そこまで気にしないでいいよ。$	$1, 그렇게까지 신경 안 써도 돼.
$^やっぱり(.+?)は真面目だね。もう少しくらい、肩の力を抜いてもいいのに。$	역시 $1는 성실하네. 좀 더, 어깨의 힘을 빼도 되는데.
$^ん、どうしたの、(.+?)？$	응, 무슨 일이야, $1?
$^そうなんだ。偉いね、(.+?)。$	그랬구나. 기특하네, $1.
$^頼りにしてるよ。しかし、(.+?)は本当に頑張り屋さんで、素敵なメイドだね。$	의지하고 있어. 그나저나, $1는 정말 노력파에 멋진 메이드네.
$^それにしても(.+?)、ずいぶんと上機嫌だけど、どうしたの？$	그건 그렇고 $1, 꽤나 기분이 좋은데 무슨 일 있어?
$^いや、恥ずかしくなんてないと思うよ。楽しそうだったし、なにより(.+?)、可愛いしさ。$	아니, 부끄럽지 않았다고 생각해. 즐거워 보였고, 무엇보다 $1, 사랑스럽고 말야.
$^違う違う、それは誤解だよ。(.+?)が楽しそうに仕事してるから、良かったって思ったんだ。$	아니 아니, 그건 오해야. $1가 즐겁게 일하고 있으니까, 다행이라고 생각했어.
$^(.+?)は、観葉植物が好きなの？$	$1는 식물을 좋아해?
$^それじゃあ(.+?)のおすすめの観葉植物、楽しみにしてるね。$	그럼 $1가 추천하는 화분, 기대하고 있을게.
$^ん、なに、(.+?)。そんな不安そうにして……$	응, 뭐야, $1. 그렇게 불안하게 해서……
$^え？　なに言ってるんだよ、(.+?)。大丈夫、すごくいい感じだよ。$	에? 무슨 말 하는 거야, $1. 괜찮아, 엄청 좋은 느낌이야.
$^ああ、もちろんだよ。(.+?)の好きなように、素敵なデザインにしてほしい。$	아아, 물론이야. $1가 좋아하는대로, 멋진 디자인으로 해 줬으면 좋겠어.
$^……そうか。この仕事をさせる事で、(.+?)を不安にさせてたんだね。$	…… 그런가. 이 일을 시켜서 $1를 불안하게 만들고 있었던 거네.
$^いや、黙っていられるより、はっきり聞いてくれた方が嬉しい。……それで、(.+?)にセンスがあるかどうかって話だけど……$	아니, 가만히 있는 것보다는 분명히 물어 주는 게 좋아. ……그래서, $1에게 센스가 있는지 없는지 하는 이야기인데……
$^そう？　それなら言うけど……(.+?)のセンスは、問題ないよ。$	그래? 그럼 말하는데……$1의 센스는 문제 없어.
$^別に遣ってない、本当の事言ってるだけだよ。(.+?)はセンスあるよ。$	딱히 하고 있지 않아, 사실을 말하고 있을 뿐이야. $1는 센스 있어.
$^だからこれからも、(.+?)にこの仕事を任せていいかな？$	그니까 앞으로도, $1에게 이 일을 맡겨도 될까?
$^やっぱり(.+?)は笑顔の方がいいな。さっきみたいな曇り顔よりさ。$	역시 $1의 웃는 얼굴이 좋은데. 방금 전 같은 흐린 얼굴보다 말야.
$^それなら良かったよ。(.+?)が笑顔だと俺も嬉しいからさ。$	그럼 다행이야. $1가 웃는 얼굴이면 나도 기쁘니까 말야.
$^うん、ありがとう。……ふふ、なんだか(.+?)がお嫁さんみたいだな。$	응, 고마워. …… 후후, 뭔가 $1가 아내같네.
$^おお、(.+?)が俄然やる気になっている……$	오오, $1가 갑자기 의욕이 생기고 있어……
$^どうしたの、(.+?)。$	왜, $1.
$^……(.+?)の真面目さがまた、罪悪感を煽り立てるな、これは。$	……$1의 성실함이 또, 죄악감을 부추기는구나, 이건.
$^それはまあね。でも、きっと(.+?)ならできるから、心配しなくていいと思うよ。$	그건 뭐 그래. 그치만, 분명 $1라면 할 수 있으니까, 걱정 안 해도 된다고 생각해.
$^(.+?)、様になってきたね。なんだか雰囲気合ってるよ。$	$1, 그럴싸한데. 왠지 분위기가 어울려.
$^(.+?)みたいなメイドに接客されたら、お客様もきっと嬉しいだろうと思うよ。$	$1같은 메이드에게 접객 받으면, 손님도 분명 기뻐할 거라고 생각해.
$^なんというか、佇まい？　こう、正面に(.+?)がいて話してると楽しいし、お酒も進む感じかな。$	뭐랄까, 분위기? 이렇게, 정면에 $1가 있어서 이야기하고 있으면 즐겁고, 술도 잘받는 느낌이려나.
$^そんな事ないって。(.+?)の努力に成果なんだから、誇っていいものだと思うよ。$	그렇지 않다니까. $1가 노력한 성과인 거니까, 자랑스러워 해도 좋다고 생각해.
$^……なんだか、(.+?)が妙に色っぽい感じがするな。$	…… 왠지, $1가 묘하게 요염하다는 느낌이 드네.
$^ははは、別に、赤くはなっていないけどさ。いやぁ、(.+?)こそ、結構酔ってるみたいだね？$	하하하, 별로, 얼굴이 빨갛진 않은데 말야. 아니, $1야말로, 꽤나 취한 것 같다?
$^そうだね……。いつもの(.+?)よりも色っぽいというか、艶っぽいというか……なんだかそんな感じだよ。$	그렇네……. 평소의 $1보다 요염하다고 할까, 색기있다고 할까…… 왠지 그런 느낌이야.
$^誰と一緒に飲んでるか？　まあ、お客様は(.+?)と飲んでるわけだから、きっと楽しいだろうと思うよ。$	누구랑 같이 마시는지? 뭐, 손님은 $1랑 마시고 있는 거니까, 분명 즐거울 거라고 생각한다.
$^練習とはいえ、俺も(.+?)と飲めて楽しいよ。……それになんだかドキドキするし。$	연습이라고는 해도, 나도 $1랑 마셔서 즐거워. …… 그리고 왠지 두근두근하고.
$^そりゃそうだよ。……それに、(.+?)。そろそろ飲むのはやめた方がいいんじゃないか？$	그건 그래. …… 그리고, $1. 슬슬 마시는 건 그만두는 게 좋지 않을까?
$^(.+?)は優しいなぁ。良いメイドだよ。$	$1는 상냥한데. 좋은 메이드야.
$^そうだね。(.+?)は、大人の女性に憧れているの？$	그렇네. $1는, 어른스러운 여자를 동경하고 있어?
$^しっかりしてるんだね、(.+?)は。お客様もきっと満足してくれるよ。$	착실하게 하고 있는 거네, $1는. 손님도 분명 만족해 줄 거야.
$^いやいや、そんな事ないって。だって俺、今楽しいからさ、(.+?)と飲んでて。$	아니 아니, 그렇지 않다니까. 왜냐면 나, 지금 즐거우니까, $1랑 마시고 있어서.
$^ああ、当然だよ。だからきっと、これから(.+?)が相手するお客様も、喜んでくれると思うんだ。$	아아, 당연하지. 그니까 분명, 이제부터 $1가 상대하는 손님들도, 기뻐해 줄 거라고 생각해.
$^持っていいと思うよ。(.+?)は充分に頑張ってると思うからさ。$	가지고 있어도 좋아. $1는 충분히 노력하고 있다고 생각하니까 말야.
$^酔った(.+?)も可愛いなぁ……$	취한 $1도 사랑스럽네……
$^そっか。でもそれは(.+?)のおかげだと思うな。$	그래. 그치만 그건 $1 덕분이라고 생각되는 걸.
$^そういうのはよくないよ、(.+?)。$	그러한 것은 좋지 않아, $1.
$^(.+?)なら大丈夫だよ。$	$1라면 괜찮아.
$^かわいいな、(.+?)は。$	귀엽네, $1는.
$^俺も(.+?)から先輩って呼ばれたいなぁ。$	나도 $1가 선배라고 불러줬으면.
$^礼儀正しくて真面目な(.+?)は、後輩ってイメージがあるんだよな。$	예의 바르고 성실한 $1는, 후배라는 이미지가 있구나.
$^だってその格好だと(.+?)がヤケドしちゃうじゃない？$	왜냐하면 그 모습이라면 $1가 화상 해버린다가 아니야?
$^だってその格好だと火も危ないし……料理はいいから、(.+?)とエッチしちゃうのもありかもね。$	왜냐하면 그 모습이라면 불도 위험하고……요리는 좋으니까, $1와 섹스해버린다 것도 있는 곳도.
$^(.+?)は俺の用意した官能小説を目の前で読んでいる。$	$1는 나의 준비한 관능 소설을 눈앞에서 읽고 있다.
$^(.+?)……読み上げてみてよ。$	$1……읽어 내려 봐.
$^可愛いよ(.+?)。勃起してきた。$	사랑스러워 $1. 발기해 왔다.
$^そんな野暮な事を聞かないの。今俺が夢中になっているのは、目の前の(.+?)だけだよ。$	그렇게 촌스러운 일을 (듣)묻지 않는거야. 지금 내가 열중하고 있는 것은, 눈앞의 $1뿐이야.
$^……(.+?)も興奮しちゃってるの？$	…… $1도 흥분해 버린다의?
$^素晴らしいよ、(.+?)……大和撫子な\1がそんなエッチな格好で活花だなんて。$	훌륭해, $1……구식 일본여성인 $1가 그렇게 음란한 모습으로 활화이라니.
$^実に変態的な光景だね、ああ、女体盛りもいつかは(.+?)でやってみたいな。$	실로 변태적인 광경이구나, 아, 여체 번화가도 언젠가는 $1로 해 보고 싶은.
$^興奮してきたな、(.+?)のおまんこで、ワカメ酒かぁ。$	흥분해 오고 싶은, $1의 보지로, 미역술인가.
$^そ、それはちょっと恥ずかしいから、勘弁してほしいかな、(.+?)……$	, 그건 좀 부끄럽기 때문에, 용서 해 주었으면 할까, $1……
$^じゃあ、仕返しに俺も(.+?)の身体にしちゃうけど。ふふ、首筋だけじゃなくて、すっごく恥ずかしいところにキスマークつけたっていいんだよ。$	자, 보복에 나도 $1의 신체로 해버린다지만. 후후, 목덜미만이 아니고, 대단히 부끄러운 곳에 키스 마크 붙여도 좋아.
$^(.+?)なら、構わないよ……$	$1라면, 상관없어……
$^つまらないなぁ、恥らってよ(.+?)。$	재미없구나, 수치등은 $1.
$^ねぇ、エステ子ちゃん。(.+?)にエッチな事しちゃっていいよ？$	응, 에스테틱자. $1에 음란한 일 해 버려서 좋아?
$^えー、(.+?)が女の子にお尻をモミモミされちゃうところ見たいなぁ。$	네―, $1가 여자 아이에게 엉덩이를 만지작만지작 되려는 참 보고 싶다.
$^ちょうどいいね。あぁ、でも(.+?)と一緒に入ったら、興奮してそのまま夜伽になっちゃうかな？$	딱 좋다. 아, 그렇지만 $1와 함께 들어가면(자), 흥분해 그대로 밤시중이 되어 버릴까?
$^俺は(.+?)にそっと耳打ちして、エッチな単語を教える。$	나는 $1에 살그머니 귀엣말해, 음란한 단어를 가르친다.
$^ごめんごめん。でも本当に、可愛いよ(.+?)。$	미안 미안. 그렇지만 정말로, 사랑스러워 $1.
$^……どうしたの、(.+?)？$	……왜, $1?
$^チラチラと周りを気にする(.+?)。$	힐끔힐끔와 주위를 신경쓰는 $1.
$^本来なら接客の練習の時にはお客様がいないけど……俺は(.+?)を恥ずかしがらせる為に複数人お客様を呼んでいたのだった。$	본래라면 접객의 연습때에는 손님이 없지만……나는 $1를 부끄러워하게 하기 위해 복수인 손님을 부르고 있었던 것이었다.
$^俺以外の男に見られて照れる(.+?)は可愛いよ。$	나 이외의 남자로 보여져 수줍은 $1는 사랑스러워.
$^はは、ごめんね。でも恥ずかしがる(.+?)を見てるせいかな、美味しいよ。$	(은)는은, 미안해요. 그렇지만 부끄러워하는 $1를 보는 탓인지, 맛있어.
$^言いながらお酒を勧めてくる(.+?)。$	말하면서 술을 권해 오는 $1.
$^もしかして(.+?)……俺を酔い潰そうとしてる？$	혹시 $1……나를 취기궤 그렇다고 하고 있어?
$^(.+?)、何をしてるの？$	$1, 무엇을 해?
$^(.+?)が裁縫してるの、あんまり見たことないなぁ。$	$1가 재봉 해, 별로 본 적 없다.
$^そうだね、(.+?)の頑張りがどれくらいか知りたいし。$	그렇다, $1의 분발함이 어느 정도인가 알고 싶고.
$^(.+?)、裁縫にも慣れてきた？$	$1, 재봉에도 익숙해져 왔어?
$^でも、何でもやってみようっていう(.+?)の前向きな姿勢はいいと思う。$	그렇지만, 뭐든지 해 보자고 하는 $1의 적극적인 자세는 좋다고 생각한다.
$^(.+?)が裁縫もできるようになったら、もう完璧超人だね。$	$1를 재봉도 할 수 있게 되면(자), 이제(벌써) 완벽 초인이구나.
$^いやあ、(.+?)は頑張り屋さんだなって思って。$	야, $1는 노력해 가게라고 생각해.
$^ああ、あれ直してくれたの(.+?)だったんだ。ありがとう。$	아, 저것 고쳐 준 것 $1였다. 고마워요.
$^だったら、単に俺が(.+?)と一緒に行きたいだけなんだよ、って言ったら？$	그렇다면, 단지 내가 $1와 함께 가고 싶은 것뿐이야, 라고 말하면(자)?
$^ど、どうしたの、(.+?)。$	무, 무슨일이야, $1.
$^バカ、(.+?)は俺の恋人だろ。恋人が怪我をしたら心配するに決まってるじゃないか。$	바보, $1는 나의 연인이겠지. 연인가 다치면(자) 걱정하는에 정해져있는이 아닌가.
$^(.+?)の血なら吸い出して全部飲んじゃいたいくらいだ。$	$1의 피라면 빨아내 전부 마셔버릴 싶을 정도 다.
$^いいね、吸血鬼。(.+?)を俺のしもべにできるし。$	좋다, 흡혈귀. $1를 나의 머슴이 할 수 있고.
$^やあ、(.+?)。調子はどう？$	야, $1. 상태는 어때?
$^(.+?)は勉強家だね。何でもすぐに上達するんだからすごいよ。$	$1는 공부가구나. 뭐든지 곧바로 능숙해지기 때문에 대단히.
$^じゃあ、俺が(.+?)のことをもっともっと好きになれば……$	자, 내가 $1를 좀더 좀더 좋아하게 되면……
$^(.+?)はいつも頑張り過ぎちゃうから。時にはリラックスして欲しいし。$	$1는 너무 언제나 노력해버리니까. 때로는 릴렉스해 주었으면 하고.
$^あれ、(.+?)。何をしてるの？$	저것, $1. 무엇을 해?
$^縫い付けてるのって(.+?)の名前？$	꿰매어라고 $1의 이름?
$^ダメじゃないけど……そんなことしなくたって、俺は(.+?)のことを忘れたりしないよ。$	안되지 않지만……그런 금년 없어도, 나는 $1를 잊거나 하지 않아.
$^やあ、(.+?)。$	야, $1.
$^(.+?)が料理するとこ、見てちゃダメかな。$	$1가 요리하는 곳, 견안된가.
$^そんなことないよ。(.+?)は料理得意？$	그렇지 않아. $1는 요리 이익?
$^随分と手がかかってそうだ。頑張ってくれたんだね。ありがとう、(.+?)。$	상당히 손이 많이 가 그렇다. 노력해 주었군요. 고마워요, $1.
$^料理を作ってるんだね、(.+?)。$	요리를 만들고 있어, $1.
$^今日は(.+?)の料理が食べられるんだ。楽しみだなぁ。$	오늘은 $1의 요리를 먹을 수 있다. 기다려지는구나.
$^おっ、料理してるね、(.+?)。いい匂いだ。$	, 요리하고 있구나, $1. 좋은 냄새다.
$^おいしいと思うよ。それに(.+?)に作ってもらえたら、それだけで嬉しいしね。$	맛있다고 생각해. 거기에 $1에 만들어 줄 수 있으면(자), 그 만큼으로 기쁘기도 하고.
$^男は女性の手料理に弱いんだ。(.+?)は最高の調味料だってこと。$	남자는 여성의 손요리에 약하다. $1는 최고의 조미료도 일.
$^今日も頑張ってるね、(.+?)。$	오늘도 노력하고 있구나, $1.
$^ははは、気にしすぎだよ。別に料理がヘタでも(.+?)が好きだってことに変わりはないから。$	하하하, 너무 신경써. 별로 요리가 열매 꼭지에서도 $1를 좋아한다고 일로 변화는 없으니까.
$^も、もちろんだよ。(.+?)だけが俺の恋人だから。$	도, 물론이야. $1만이 나의 연인이니까.
$^大丈夫だから！　(.+?)が一番だから！$	괜찮기 때문에! $1가 제일이니까!
$^やあ、(.+?)。何をしてるの？$	야, $1. 무엇을 해?
$^ふうん、(.+?)は勉強家なんだね。$	식응, $1는 공부가야.
$^やあ、(.+?)。随分と分厚い本を読んでるね。重くないの？$	야, $1. 상당히 두꺼운 책을 읽고 있구나. 무겁지 않은거야?
$^ちょっと、(.+?)。$	좀, $1.
$^(.+?)は漫画読まないの？$	$1는 만화 읽지 않는거야?
$^いやあ、(.+?)は本当に勉強家だよね。すごく熱心に見てたでしょ。$	야, $1는 정말로 공부가지요. 몹시 열심히 보고 있었던이겠지.
$^ど、どうしたの！？　(.+?)、なんで泣いてるの！？$	무, 무슨일이야!? $1, 어째서 울어!
$^いやいや、俺と(.+?)は結ばれることが許されない関係じゃないでしょ。$	아니아니, 나와 $1는 연결되는 것이 허락되지 않는 관계가 아니지요.
$^そんなことないって。俺はみんなに(.+?)が恋人だって言ってるよ。$	그렇지 않다고. 나는 모두에게 $1가 연인라고 말하고 있어.
$^わかったわかった。じゃあ俺は(.+?)より長く生きるから。それなら大丈夫だろ？$	안 알았다. 자나는 $1보다 길게 살기 때문에. 그렇다면 괜찮겠지?
$^あれ、(.+?)。今日は何を読んでるの？$	저것, $1. 오늘은 무엇을 읽어?
$^あ、(.+?)がエッチな本を読んでる。$	아, $1가 음란한 책을 읽고 있다.
$^バカだなぁ、別にうまくなくたって(.+?)を飽きたりしないよ。$	바보구나, 별로 능숙하지 않아도 $1를 만족하고 하지 않아.
$^今でも十分(.+?)に夢中だってば。それにこういう勉強は二人でやった方が捗るよ。$	지금도 충분히 $1에 열중하다니까. 거기에 이런 공부는 둘이서 한 (분)편이 진전되어.
$^花を生けてるんだね、(.+?)。$	꽃을 심고 있어, $1.
$^(.+?)は優しいんだね。$	$1는 상냥하다.
