身長	신　장
渦を巻いているアホ毛。目立ちたい人に。	소용돌이 치고있는 바보털.\n눈에 띄고싶은 사람에게.
ダブルロングリバースカーブ	더블 롱 리버스 커브
主張の激しい二本のアホ毛。ぴろ～んと髪がカーブしている。俗に触覚と呼ばれるものである。	주장의 격렬한 2 개의 삐침머리. ∼응과 머리카락이 커브하고 있다. 일반적으로 촉각으로 불리는 것이다.
フロントカーブ	프론트 커브
前髪にかかるアホ毛。前髪のちょっとしたアクセントに。	앞머리에 걸치는 삐침머리.\n앞머리에 악센트를 살짝.
ベリーショートカーブ	배리 쇼트 커브
とても小さいアホ毛。萌えポイントアップ。	매우 작은 삐침머리.\n모에 포인트 업.
ベリーショートリバースカーブ	배리 쇼트 리버스 커브
とても小さい後ろ向きのアホ毛。萌えポイントアップ。	매우 작은 역방향 삐침머리.\n모에 포인트 업.
ロングカーブ	롱 커브
スタンダードなアホ毛。おちゃめさんに見えます。	표준적인 삐침머리. 차째씨로 보입니다.
通常肌	통상피부
普通の肌です。	평범한 피부입니다.
スク水の日焼けあとが付いた肌です。	학교수영복의 썬탠 후가 붙은 피부입니다.
スリングショットの日焼けあとが付いた肌です。	슬링 샷의 화상 자국이 붙은 피부예요.
ハートビキニの日焼けあとが付いた肌です。	하트 비키니에 뒤가 달린 피부예요.
ビキニの日焼けあとが付いた肌です。	비키니의 썬탠 후가 붙은 피부입니다.
マイクロビキニの日焼けあとが付いた肌です。	마이크로 비키니가 뒤가 달린 피부예요.
スポーツブラとスパッツの日焼けあとが付いた肌です。	스포츠 브라와 스팬츠의 탄 자국이 남은 피부입니다.
ナチュラルニップ	내츄럴 유두
ナチュラルな標準サイズの乳首。ちょうどいいサイズの乳輪です。	내츄럴한 표준 사이즈의 유두. 딱 좋은 사이즈의 유륜입니다.
ナチュラルニップ・大	내츄럴 유두ㆍ대
ナチュラルな標準サイズの乳首。主張気味の乳輪です。	내츄럴한 표준 사이즈의 유두. 주장 기색의 유륜입니다.
ナチュラルニップ・小	내츄럴 유두ㆍ소
ナチュラルな標準サイズの乳首。乳輪ほんのりひかえめです。	내츄럴한 표준 사이즈의 유두. 유륜 어렴풋이 사양하는 듯합니다.
ナチュラルニップ・陥没	내츄럴 유두ㆍ함몰
陥没気味のナチュラルニップ。こっそり中に隠れてます。	함몰 기색의 내츄럴 유두. 몰래 안에 숨어 있습니다.
マンガ乳首	만화 유두
デフォルメされた標準サイズの乳首。ちょうどいいサイズの乳輪です。	데포르메된 표준 사이즈의 젖꼭지. 딱 좋은 사이즈의 유륜입니다.
マンガ乳首・大	만화 유두ㆍ대
デフォルメされた標準サイズの乳首。主張気味の乳輪です。	데포르메된 표준 사이즈의 젖꼭지. 주장 같은 유륜입니다.
マンガ乳首・小	만화 유두ㆍ소
デフォルメされた標準サイズの乳首。乳輪ほんのりひかえめです。	데포르메된 표준 사이즈의 젖꼭지. 유륜 어렴풋이 옅습니다.
マンガ乳首・陥没	만화 유두ㆍ함몰
陥没気味のマンガ乳首。こっそり中に隠れてます。	함몰는 만화 젖꼭지. 몰래 안에 숨어요.
装着しているタトゥーを外します。	장착하고 있는 타투를 제외합니다.
ハート	하트
お腹にハート型のタトゥーを入れます。	배에 하트형의 타투를 넣습니다.
フロントフェザー	프론트 패더
鎖骨付近に押し花のタトゥーを入れます。	쇄골 근처에 말린 꽃 문신을 넣습니다.
フロントフラワー	프론트 플라워
鎖骨付近に羽のタトゥーを入れます。	쇄골 근처에 날개 문신을 넣습니다.
リリー	릴리
お腹に百合のタトゥーを入れます。	배에 백합의 타투를 넣습니다.
ローズ	로즈
左内腿にローズのタトゥーを入れます。	왼쪽 내퇴에 로즈의 타투를 넣습니다.
ハス	하스
背中に蓮の花のタトゥーを入れます。	등에 연꽃의 꽃의 타투를 넣습니다.
バタフライ	버터플라이
腰に大きな蝶のタトゥーを入れます。	허리에 큰 나비의 타투를 넣습니다.
ウィング	윙
背中に羽のタトゥーを入れます。	등에 날개 문신을 넣습니다.
スオン	스온
左肩にバラと茨のタトゥーを入れます。	왼쪽 어깨에 장미와 가시 나무의 문신을 넣습니다.
ミニバタフライ	미니 버터플라이
背中に蝶のタトゥーを入れます。	등에 나비 문신을 넣습니다.
奴隷落書き	노예 낙서
臀部周辺と太腿に落書きを入れます。	엉덩이 주변과 허벅지에 낙서를 넣습니다.
孕ませ落書き	내포하고 낙서
臀部周辺に落書きを入れます。	둔부주변에 낙서를 넣습니다.
淫乱落書き	음란 낙서
尻穴落書き	항문 낙서
尻穴周辺に落書きを入れます。	항문주변에 낙서를 넣습니다.
煤汚れ	검댕 얼룩
肌全体に煤汚れを足します。	피부 전체에 검댕 얼룩을 만족합니다.
パイパン	백보지
生まれたてのようなつるつる。	갓 태어난 같은 반들반들.
カールアンダーヘア	컬 언더 헤어
ややくせっ毛なアンダーヘア。	약간 버릇털인 언더 헤어.
ナチュラルアンダーヘア	내츄럴 언더 헤어
ナチュラルなアンダーヘア。あまりお手入れがされていない。だがそこがいい。	내츄럴한 언더 헤어. 그다지 손질이되어 있지 않다. 하지만 거기가 좋다.
ナチュラルアンダーヘア・濃	내츄럴 언더 헤어ㆍ농
濃いめのナチュラルなアンダーヘア。	진한 내츄럴한 언더 헤어.
ナチュラルアンダーヘア・薄	내츄럴 언더 헤어ㆍ박
薄めのナチュラルなアンダーヘア。	얇은 내츄럴한 언더 헤어.
ノーマルアンダーヘア	노멀 언더 헤어
ノーマルなアンダーヘア。	정상적인 언더 헤어.
ノーマルアンダーヘア・広	노멀 언더 헤어ㆍ광
生えてる範囲が広めのノーマルなアンダーヘア。	나있는 범위가 넓은 정상적인 언더 헤어.
ヤングアンダーヘア	영 언더 헤어
アンダーヘアが生え始めたくらい。	언더 헤어가 나기 시작한 정도.
剛毛	강모
がっつり濃いめのアンダーヘア。	마음껏 진한 언더 헤어.
拡散ヘア	확산 헤어
左右に広がるアンダーヘア。	좌우에 퍼지는 언더 헤어.
LAMUNATION!・アイリス帽子	LAMUNATION!ㆍ아이리스 모자
WHITE POWDERコラボ衣装。LAMUNATION!のアイリスの帽子。	WHITE POWDER 콜라보 의상.\nLAMUNATION!의 아이리스의 모자.
Ｐｉａ３・ぱろぱろベレー帽	PiaCarrot3ㆍ파로파로 베레모
Ｐｉａキャロット美崎海岸通り店（４号店）の制服。ぱろぱろタイプ。長いリボンが特徴的なベレー帽。	Pia캐럿 미사키 해안길점(4호점)교복. 파로 파로 타입. 긴 리본이 특징적인 베레모.
エル・スウィートリボン	에루ㆍ스위트 리본
エルちゃんのリボン。	에루쨩의 리본.
サイ・リリーキャップ	사이ㆍ릴리 캡
サイちゃんのキャップ。	사이쨩의 캡.
サキュバスホーン	서큐버스 혼
夢魔の角。えっちな人に生えるらしいです。	악몽의 뿔. 야한 사람에 자라는 것 같습니다.
ディル・ブラッドベレー	디르ㆍ블러드 베레모
ディルちゃんのベレー。	디르쨩의 베레.
まいてつ・ハチロク帽子	마이테츠ㆍ하치로쿠 모자
Loseコラボ衣装。まいてつのハチロクの帽子。車掌気分を存分に味わえます。	Lose 콜라보 의상.\n마이테츠의 하치로쿠 모자.\n차장 기분을 마음껏 즐길 수 있습니다.
まいてつ・れいな帽子	마이테츠ㆍ레이나 모자
Loseコラボ衣装。まいてつのれいなの帽子。帽子のライトで安全確保！	Lose 콜라보 의상.\n마이테츠의 레이나 모자.\n모자의 라이트로 안전확보!
ミリタリーベレー帽	밀리터리 베레모
軍人っぽいベレー帽。なんとなく威厳があります。イエスマム！	군인 같은 베레모. 왠지 모르게 위엄이 있습니다.예수 맘!
ワガハイ・かおるこフロントリボン	와가하이ㆍ카오루코 프론트 리본
まどそふとコラボ衣装。ワガママハイスペックのかおるこの前髪用リボン。	마도소프트 콜라보 의상.\n와가마마 하이스펙의 카오루코의 앞머리용 리본.
ワガハイ・兎亜リボン	와가하이ㆍ토아 리본
まどそふとコラボ衣装。ワガママハイスペックの鳴海兎亜の前髪用リボン。	마도소프트 콜라보 의상.\n와가마마 하이스펙의 나루미 토아의 앞머리용 리본.
ダンシングメイドハット	댄싱 메이드 햇
ダンシングメイドハット・桃	댄싱 메이드 햇
ダンシングメイドハット・橙	댄싱 메이드 햇
ダンシングメイドハット・赤	댄싱 메이드 햇
ダンシングメイドハット・青	댄싱 메이드 햇
ダンシングなメイドハット。心がウキウキ踊りだします。	댄싱 메이드 해트. 마음이 두근두근하는 춤을 춘다요. 
旧メイドキャップ	구메이드 캡
旧メイドキャップ・緑	구메이드 캡
旧メイドキャップ・茶	구메이드 캡
旧メイドキャップ・黒	구메이드 캡
旧メイドキャップ・黒茶	구메이드 캡
旧式なメイドキャップ。ヘッドドレスと違い、見かけにくい。それでも根強い人気を誇ります。	구식의 메이드 캡.\n헤드드레스와 다르게, 보기 힘들다. 그런데도 뿌리깊은 인기를 자랑합니다.
ダンシングヘッドセット	댄싱 헤드셋
ダンシングヘッドセット・紫	댄싱 헤드셋
ダンシングヘッドセット・赤	댄싱 헤드셋
ダンシングヘッドセット・黄	댄싱 헤드셋
ダンシングヘッドセット・黒	댄싱 헤드셋
踊るチアリーダーなヘッドセット。歌って踊って声を届けます。	춤추는 치어 리더인 헤드셋. 노래는 춤추고 소리를 보냅니다.
つば広帽子	챙 넓은 모자
つば広帽子・緑	챙 넓은 모자
つば広帽子・赤	챙 넓은 모자
つば広帽子・黄	챙 넓은 모자
つば広帽子・黒	챙 넓은 모자
つばの広い白帽子。大きなリボンが付いている。かぶれば夏のヒロインに。	침의 넓은 흰색 모자. 큰 리본이 붙어 있다. 쓰면 여름의 히로인에게.
ナイトキャップ	나이트 캡
ナイトキャップ・緑	나이트 캡
ナイトキャップ・薄茶	나이트 캡
ナイトキャップ・青	나이트 캡
ナイトキャップ・黒	나이트 캡
ほかほかのナイトキャップ。かぶると良い夢が見れそうです。	따끈따끈한 나이트캡. 쓰면 좋은 꿈 꿀 것 같아요.
ネコ帽子	고양이 모자
ネコ帽子・白	고양이 모자
ネコ帽子・緑	고양이 모자
ネコ帽子・青	고양이 모자
ネコ帽子・黄	고양이 모자
猫を連想させる帽子。肉球マークがとってもキュート。	고양이를 연상시키는 모자. 육 구마크가 매우 귀여움.
ベレー帽	베레모
ベレー帽・白茶	베레모
ベレー帽・紺	베레모
ベレー帽・赤	베레모
ベレー帽・黒	베레모
大き目の可愛らしいベレー帽。芸術に目覚めちゃいましょう。	큰 귀여운 베레모. 예술에 눈뜨다 봅시다.
ホット帽子	따뜻한 모자
ホット帽子・白	따뜻한 모자
ホット帽子・赤	따뜻한 모자
ホット帽子・青	따뜻한 모자
ホット帽子・黄	따뜻한 모자
暖かい帽子。寒冷地方の特産品です。	따뜻한 모자. 한랭 지방의 특산품입니다.
ミニハット	미니 햇
ミニハット・桃	미니 햇
ミニハット・赤	미니 햇
ミニハット・青	미니 햇
ミニハット・黒	미니 햇
小さくてオシャレなミニハット。ファッショナブルでモードな感じです。	작고 멋진 미니 모자.패셔너블하고 모드 같습니다.
大きなリボン髪飾り	커다란 리본 머리장식
大きなリボン髪飾り・白	커다란 리본 머리장식
大きなリボン髪飾り・青	커다란 리본 머리장식
大きなリボン髪飾り・黄	커다란 리본 머리장식
大きなリボン髪飾り・黒	커다란 리본 머리장식
大きくてかわいいリボンの髪飾り。少しばかり大きすぎな気もします。	크고 사랑스러운 리본 머리장식.\n약간 큰거같은 기분도 듭니다.
狐面	여우가면
狐面・緑	여우가면
狐面・赤	여우가면
狐面・黄	여우가면
狐面・黒	여우가면
おちゃめな狐のお面。着ければお祭り気分です。	장난스러운 여우의 가면.\n쓰면 축제 기분입니다.
アニマル帽子	애니멀 모자
アニマル帽子・白	애니멀 모자
アニマル帽子・紫	애니멀 모자
アニマル帽子・赤	애니멀 모자
アニマル帽子・黒	애니멀 모자
アニマルの帽子。ピンと伸びたお耳がチャーミング。	애니멀 모자. 감이 늘어난 귀이 매력적.
くのいちバンド	쿠노이치 밴드
くのいちバンド・白	쿠노이치 밴드
くのいちバンド・紫	쿠노이치 밴드
くのいちバンド・黄	쿠노이치 밴드
くのいちバンド・黒	쿠노이치 밴드
くのいちの頭用バンド。額を狙った攻撃を防ぎます。これなら打たれても安心です。	여자 닌자의 머리용 밴드. 이마를 노린 공격을 막습니다.이것이라면 맞더라도 안심입니다.
サンタ帽子	산타 모자
サンタ帽子・緑	산타 모자
サンタ帽子・茶	산타 모자
サンタ帽子・青	산타 모자
サンタ帽子・黒	산타 모자
サンタの帽子。頭の冷えを防いでくれます。	산타 모자.머리의 냉기를 막아 줍니다.
ジェネラルハット	제너럴 햇
ジェネラルハット・白	제너럴 햇
ジェネラルハット・緑	제너럴 햇
ジェネラルハット・青	제너럴 햇
ジェネラルハット・黄	제너럴 햇
ジェネラルな威厳を放つ帽子。被ると身分の高さが増すらしい。近頃の女性はやんちゃです。	제너럴 위엄을 날려모자 쓰면 신분의 높이가 커질 것 같다. 요즘의 여성은 장난입니다.
チャイナハット	차이나 햇
チャイナハット・白	차이나 햇
チャイナハット・青	차이나 햇
チャイナハット・黄	차이나 햇
チャイナハット・黒	차이나 햇
チャイナなハット。お鍋のような、お鍋の蓋のような。	차이난 모자. 찌개 같은 찌개 뚜껑 같은.
パンプキンウィッチハット	펌프킨 위치 햇
パンプキンウィッチハット・紫	펌프킨 위치 햇
パンプキンウィッチハット・緑	펌프킨 위치 햇
パンプキンウィッチハット・赤	펌프킨 위치 햇
パンプキンウィッチハット・青	펌프킨 위치 햇
パンプキンな魔女っ子ハット。あんぐりと口を開けています。	호박인 마녀 아이 하트. 딱 입을 벌리고 있습니다.
マジカルウィッチハット	매지컬 위치 햇
マジカルウィッチハット・白	매지컬 위치 햇
マジカルウィッチハット・紫	매지컬 위치 햇
マジカルウィッチハット・紺	매지컬 위치 햇
マジカルウィッチハット・茶	매지컬 위치 햇
かわいい魔女っ娘の帽子。へんな薬を作りたくなるそうです。魔力がわずかにアップ。	귀여운 마녀의 모자. 이상한 약을 만들고 싶어진대요.마력이 약간 증가.
ミニシスターベール	미니 시스터 베일
ミニシスターベール・白	미니 시스터 베일
ミニシスターベール・紫	미니 시스터 베일
ミニシスターベール・赤	미니 시스터 베일
ミニシスターベール・青	미니 시스터 베일
ミニなシスターがかけるベール。謙遜の証だとか、魔除けだとか。魔法防御力が高そうです。	미닌 수녀가 낀 베일. 겸손의 증거이니, 벽사라고. 마법 방어력이 비싸겠어요.
天使の輪	천사 고리
天使の輪・桃	천사 고리
天使の輪・白	천사 고리
天使の輪・青	천사 고리
天使の輪・黒	천사 고리
天使の輪です。無闇に投げて遊んではいけません。謎の天使パワーで浮いています。	천사의 고리입니다. 함부로 던져 놀아서는 안됩니다. 수수께끼의 천사 파워로 떠 있습니다.
巫女リボン	무녀 리본
巫女リボン・桃	무녀 리본
巫女リボン・紫	무녀 리본
巫女リボン・青	무녀 리본
巫女リボン・黄	무녀 리본
巫女さんが着けてそうなリボン。とても大きく主張します。	무당 씨가 입고 그러자 리본. 너무 큰 주장합니다.
悪魔の角	악마 뿔
悪魔の角・白	악마 뿔
悪魔の角・赤	악마 뿔
悪魔の角・青	악마 뿔
悪魔の角・黄	악마 뿔
悪魔の角です。年に一度くらい生え変わります。なめらか、そしてごつい。	악마의 모퉁이입니다. 해에 한 번 정도 나고 바뀝니다. 매끈매끈함, 그리고 완고하다.
海賊帽子	해적 모자
海賊帽子・白	해적 모자
海賊帽子・紫	해적 모자
海賊帽子・緑	해적 모자
海賊帽子・赤	해적 모자
海賊帽子・黄	해적 모자
海賊帽子・黒	해적 모자
カッコイイ海賊の帽子。海の荒くれ者のトレードマーク。ドクロマークが悪さを更にアピール。	멋있는 해적 모자. 바다의 난폭한 사나이의 트레이드 마크.도쿠로 마크가 나쁨을 더욱 과시했다.
牛カチューシャ	젖소 카츄샤
牛っぽいカチューシャ。ぴょこっとした耳がかわいい。	소 같은 카츄사.피요코쯔토한 귀이 귀엽다.
イヌミミ	강아지 귀
イヌミミ・白	강아지 귀
イヌミミ・青	강아지 귀
イヌミミ・黄	강아지 귀
イヌミミ・黒	강아지 귀
犬耳ですワン。ワンワン。	강아지 귀다멍. 멍멍.
ネコミミ	고양이 귀
ネコミミ・白	고양이 귀
ネコミミ・茶	고양이 귀
ネコミミ・青	고양이 귀
ネコミミ・桃	고양이 귀
猫耳ですにゃん。にゃんにゃん。	고양이 귀다냥. 냥냥.
狐耳	여우귀
狐耳・亜麻	여우귀
狐耳・橙	여우귀
狐耳・白銀	여우귀
狐耳・黄金	여우귀
なんだかありがたい狐耳。思わず手を合わせたくなります。	뭔가 고마운 여우귀.\n무심코 손은 모으고 싶어집니다.
ゴシックヘッドドレス	고딕 헤드드레스
ゴシックなヘッドドレス。ゴスロリ欲が上から満たされます。	고딕 헤드드레스 고스로리 욕심이 위에서 충족됩니다.
ディル・ブラッドカチューシャ	디르ㆍ블러드 카츄샤
ディルちゃんのカチューシャ。	디르쨩의 카츄샤
まいてつ・れいなカチューシャ	마이테츠ㆍ레이나 카츄샤
Loseコラボ衣装。まいてつのれいなのカチューシャ。良い感じにまとまります。	Lose 콜라보 의상.\n마이테츠의 레이나 카츄샤.\n좋은 느낌으로 정리됩니다.
レーシングメイドヘッドドレス	레이싱 메이드 헤드드레스
レースクイーンなメイドヘッドドレス。スピード感を味わえる。……気がします。	레이스 퀸 메이드 헤드 드레스. 속도감을 맛 본다. ……생각이 듭니다.
普通のメイドヘッドドレス	평범한 메이드 헤드드레스
いたって普通のメイドヘッドドレス。高水準の普通です。	지극히 보통의 메이드 헤드 드레스고 수준의 보통입니다.
CBLメイドヘッドドレス	CBL형 헤드드레스
CBLメイドヘッドドレス・桃	CBL형 헤드드레스
CBLメイドヘッドドレス・白	CBL형 헤드드레스
CBLメイドヘッドドレス・緑	CBL형 헤드드레스
CBLメイドヘッドドレス・赤	CBL형 헤드드레스
サイバーチックなヘッドドレス。今晩の料理の献立やレシピなど、役立つ情報を色々と受信してそうです。	사이버적인 헤드드레스오늘밤의 요리 식단과 조리법 등 양질의 정보를 여러가지 수신하고 그렇습니다.
イノセントメイドヘッドドレス	이노센트 메이드 헤드드레스
イノセントメイドヘッドドレス・紫	이노센트 메이드 헤드드레스
イノセントメイドヘッドドレス・赤	이노센트 메이드 헤드드레스
イノセントメイドヘッドドレス・青	이노센트 메이드 헤드드레스
イノセントメイドヘッドドレス・黄	이노센트 메이드 헤드드레스
イノセントなメイドヘッドドレス。『無垢』を冠すそのヘッドドレス。無垢と思ってれば無垢なのです。	결백한 메이드 헤드드레스. 『무구』을 관기슭의 들판 헤드드레스. 무구라고 생각하고 있으면 무구합니다.
エレガンスメイドヘッドドレス	엘레강스 메이드 헤드드레스
エレガンスメイドヘッドドレス・桃	엘레강스 메이드 헤드드레스
エレガンスメイドヘッドドレス・緑	엘레강스 메이드 헤드드레스
エレガンスメイドヘッドドレス・赤	엘레강스 메이드 헤드드레스
エレガンスメイドヘッドドレス・青	엘레강스 메이드 헤드드레스
エレガンスなメイドヘッドドレス。シンプルで上品な雰囲気です。	엘레강스인 메이드 헤드드레스. 심플하고 품위있는 분위기입니다.
エロメイドヘッドドレス	에로 메이드 헤드드레스
エロメイドヘッドドレス・紫	에로 메이드 헤드드레스
エロメイドヘッドドレス・緑	에로 메이드 헤드드레스
エロメイドヘッドドレス・青	에로 메이드 헤드드레스
エロメイドヘッドドレス・黒	에로 메이드 헤드드레스
エロいメイドヘッドドレス。なんと、ヘッドドレスからもエロさが！頭から色っぽく染めあがります。	에로 메이드 헤드 드레스. 무려, 헤드 드레스으로도 에롬이!머리부터 요염하게 물들이는 오를 겁니다.
クラシカルメイドヘッドドレス	클래시컬 메이드 헤드드레스
クラシカルメイドヘッドドレス・紫	클래시컬 메이드 헤드드레스
クラシカルメイドヘッドドレス・緑	클래시컬 메이드 헤드드레스
クラシカルメイドヘッドドレス・赤	클래시컬 메이드 헤드드레스
クラシカルメイドヘッドドレス・青	클래시컬 메이드 헤드드레스
クラシカルなメイドヘッドドレス。貴人に仕える為には欠かせません。	클래식한 메이드 헤드드레스.\n귀인을 섬기기 위해서는 빼놓을 수 없습니다.
ゴスロリメイドヘッドドレス	고스로리 메이드 헤드드레스
ゴスロリメイドヘッドドレス・紫	고스로리 메이드 헤드드레스
ゴスロリメイドヘッドドレス・赤	고스로리 메이드 헤드드레스
ゴスロリメイドヘッドドレス・青	고스로리 메이드 헤드드레스
ゴスロリメイドヘッドドレス・黒	고스로리 메이드 헤드드레스
ゴスロリなメイドヘッドドレス。シンプルで可愛いヘッドドレスです。	고스로리인 메이드 헤드드레스. 심플하고 사랑스러운 헤드드레스입니다.
セクシーメイドヘッドドレス	섹시 메이드 헤드드레스
セクシーメイドヘッドドレス・桃	섹시 메이드 헤드드레스
セクシーメイドヘッドドレス・緑	섹시 메이드 헤드드레스
セクシーメイドヘッドドレス・赤	섹시 메이드 헤드드레스
セクシーメイドヘッドドレス・青	섹시 메이드 헤드드레스
セクシーなメイドヘッドドレス。かわいいフリルやリボンが付いている。なんだかセクシー！	섹시인 메이드 헤드드레스. 사랑스러운 프릴이나 리본이 붙어 있다. 뭔가 섹시!
セパレートメイドヘッドドレス	세퍼릿 메이드 헤드드레스
セパレートメイドヘッドドレス・桃	세퍼릿 메이드 헤드드레스
セパレートメイドヘッドドレス・紫	세퍼릿 메이드 헤드드레스
セパレートメイドヘッドドレス・緑	세퍼릿 메이드 헤드드레스
セパレートメイドヘッドドレス・赤	세퍼릿 메이드 헤드드레스
セパレートメイドヘッドドレス・青	세퍼릿 메이드 헤드드레스
セパレートなメイドヘッドドレス。単体での使用にも耐えうるデザイン。	세퍼릿 메이드 헤드드레스 단독체의 사용에도 견딜 수 있는 디자인.
チャームメイドカチューシャ	챠밍 메이드 카츄샤
チャームメイドカチューシャ・桃	챠밍 메이드 카츄샤
チャームメイドカチューシャ・緑	챠밍 메이드 카츄샤
チャームメイドカチューシャ・青	챠밍 메이드 카츄샤
チャームメイドカチューシャ・黄	챠밍 메이드 카츄샤
チャームなメイドのカチューシャ。とても大きなリボンが主張します。まるでプレゼントのようです。	매력인 메이드의 카츄샤. 매우 큰 리본이 주장합니다. 마치 선물인 것 같습니다.
なでしこメイドヘッドドレス	나데시코 메이드 헤드드레스
なでしこメイドヘッドドレス・桃	나데시코 메이드 헤드드레스
なでしこメイドヘッドドレス・紫	나데시코 메이드 헤드드레스
なでしこメイドヘッドドレス・緑	나데시코 메이드 헤드드레스
なでしこメイドヘッドドレス・黒	나데시코 메이드 헤드드레스
和風なメイドヘッドドレス。桜飾りを添えました。	일본 식인형 헤드 드레스.벚꽃 장식을 곁들였습니다.
プリティメイドヘッドドレス	프리티 메이드 헤드드레스
プリティメイドヘッドドレス・桃	프리티 메이드 헤드드레스
プリティメイドヘッドドレス・緑	프리티 메이드 헤드드레스
プリティメイドヘッドドレス・赤	프리티 메이드 헤드드레스
プリティメイドヘッドドレス・青	프리티 메이드 헤드드레스
プリティなメイドヘッドドレス。サイドの部分がやや低めです。	프리티한 메이드 헤드드레스\n사이드 부분이 약간 낮습니다.
フリルセクシーヘッドドレス	프릴 섹시 헤드드레스
フリルセクシーヘッドドレス・紫	프릴 섹시 헤드드레스
フリルセクシーヘッドドレス・緑	프릴 섹시 헤드드레스
フリルセクシーヘッドドレス・赤	프릴 섹시 헤드드레스
フリルセクシーヘッドドレス・青	프릴 섹시 헤드드레스
フリフリセクシーなヘッドドレス。大きなリボンがとてもかわいい。	흔들흔들 섹시한 헤드 드레스. 큰 리본이 매우 귀엽다.
ラブリーメイドヘッドドレス	러블리 메이드 헤드드레스
ラブリーメイドヘッドドレス・桃	러블리 메이드 헤드드레스
ラブリーメイドヘッドドレス・緑	러블리 메이드 헤드드레스
ラブリーメイドヘッドドレス・赤	러블리 메이드 헤드드레스
ラブリーメイドヘッドドレス・青	러블리 메이드 헤드드레스
ラブリーなメイドヘッドドレス。ひらひらのレースがラブリー。メイドらしい上品さも併せ持ちます。	러블리인 메이드 헤드드레스. 팔랑팔랑의 레이스가 러블리. 메이드다운 품위있음도 겸비합니다.
レディメイドヘッドドレス	레이디 메이드 헤드드레스
レディメイドヘッドドレス・桃	레이디 메이드 헤드드레스
レディメイドヘッドドレス・緑	레이디 메이드 헤드드레스
レディメイドヘッドドレス・赤	레이디 메이드 헤드드레스
レディメイドヘッドドレス・青	레이디 메이드 헤드드레스
レディなメイドヘッドドレス。頭の上にはリボンたっぷり。カワイさもレディには必要です。	레이디인 메이드 헤드드레스. 머리 위에는 리본 충분히. 귀여움도 레이디에게는 필요합니다.
初代メイドヘッドドレス	초대 메이드 헤드드레스
初代メイドヘッドドレス・紫	초대 메이드 헤드드레스
初代メイドヘッドドレス・緑	초대 메이드 헤드드레스
初代メイドヘッドドレス・赤	초대 메이드 헤드드레스
初代メイドヘッドドレス・黒	초대 메이드 헤드드레스
初代メイド服のヘッドドレス。カスタムメイド3Dの基本衣裳。大き目のリボンが特徴的です。	초대 메이드옷의 헤드드레스. 커스텀 메이드 3D의 기본 의상. 대나무눈의 리본이 특징적입니다.
純真メイドカチューシャ	순진 메이드 카츄샤
純真メイドカチューシャ・桃	순진 메이드 카츄샤
純真メイドカチューシャ・緑	순진 메이드 카츄샤
純真メイドカチューシャ・青	순진 메이드 카츄샤
純真メイドカチューシャ・黒	순진 메이드 카츄샤
純真なメイドカチューシャ。綺麗な花にはトゲがある？	순수한 메이드 카츄샤.\n아름다운 꽃에는 가시가 있다?
カチューシャ	카츄샤
カチューシャ・白	카츄샤
カチューシャ・緑	카츄샤
カチューシャ・青	카츄샤
カチューシャ・黄	카츄샤
カチューシャ・黒	카츄샤
頭に着ける普通のカチューシャ。髪をまとめる時、オシャレにする時。シンプルでいつでも使いやすいです。	머리에 대는 보통 카츄샤. 머리카락을 정리할 때, 멋지게 할 때. 심플해 언제라도 사용하기 쉽습니다.
ミニティアラ	미니 티아라
ミニティアラ・桃	미니 티아라
ミニティアラ・緑	미니 티아라
ミニティアラ・金	미니 티아라
ミニティアラ・青	미니 티아라
高級感のあるミニティアラ。小さくても凛と主張します。	고급스러운 미니 티아라.작아도 늠름한 주장합니다.
ウェイトレスカチューシャ	웨이트리스 카츄샤
ウェイトレスカチューシャ・紫	웨이트리스 카츄샤
ウェイトレスカチューシャ・緑	웨이트리스 카츄샤
ウェイトレスカチューシャ・青	웨이트리스 카츄샤
ウェイトレスカチューシャ・黒	웨이트리스 카츄샤
キュートなウェイトレスカチューシャ。フリフリ＆リボンがとってもキュート。頭の上からキュートに染まります。	귀여운 웨이트리스 카츄샤.\n살랑살랑&리본이 정말 귀엽다. 머리끝부터 귀여움으로 물듭니다.
ゴシックプリンセスコサージュ	고딕 프린세스 코사지
ゴシックプリンセスコサージュ・桃	고딕 프린세스 코사지
ゴシックプリンセスコサージュ・白	고딕 프린세스 코사지
ゴシックプリンセスコサージュ・紫	고딕 프린세스 코사지
ゴシックプリンセスコサージュ・赤	고딕 프린세스 코사지
ゴシックプリンセスコサージュ・青	고딕 프린세스 코사지
ゴシックプリンセスコサージュ・黄	고딕 프린세스 코사지
ゴシックプリンセスなコサージュ。それは祝祭の日への花束。	고딕 프린세스인 코사지.그것은 축제의 날에 꽃다발.
スウィートリボンカチューシャ	스위트 리본 카츄샤
スウィートリボンカチューシャ・橙	스위트 리본 카츄샤
スウィートリボンカチューシャ・紫	스위트 리본 카츄샤
スウィートリボンカチューシャ・緑	스위트 리본 카츄샤
スウィートリボンカチューシャ・青	스위트 리본 카츄샤
スウィートリボンカチューシャ・黄	스위트 리본 카츄샤
スウィートリボンカチューシャ・黒	스위트 리본 카츄샤
不思議な甘いリボンのカチューシャ。甘い香りを漂わせます。	신기한 리본의 카투사.달콤한 향기를 풍깁니다.
ナースキャップ	간호사 캡
ナースキャップ・白	간호사 캡
ナースキャップ・緑	간호사 캡
