セーブしていないデータは失われます。終了しますか？	세이브하지 않은 데이터는 없어집니다.\n종료하시겠습니까?
(P)お風呂用ー湯気	(P)욕실용 - 수증기
(P)空間-星	(P)공간 - 별
(P)空間-泡	(P)공간 - 비누방울
(P)空間-粉雪1	(P)공간 - 가랑눈 1
(P)空間-粉雪2	(P)공간 - 가랑눈 2
(P)空間-湯気	(P)공간 - 수증기
(P)空間-吹き出す煙	(P)공간 - 내뿜는 연기
選択なし	선택 없음
ライト設定	광원 설정
ライトの向き	광원 방향
ライトの強さ	광원 밝기
強度	강도
影の強さ	그림자 강도
ライトの色	광원 색상
エフェクト設定	이펙트 설정
エフェクト一覧	이펙트 목록
なし	없음
光学ブラー	광학 블러
詳細設定	상세 설정
ブラー	흐리기
ブレ	떨림
このヘルプについて	이 도움말에 관해서
●このヘルプについて	● 이 도움말에 관해서
このヘルプはゲーム画面の下部にあるメニューバーの「ヘルプを表示」を押す事でいつでも表示する事ができます。\rまたメニューバー上段は各種ウィンドウの表示/非表示操作、下段は単体機能の呼び出しになっています。	이 도움말은 하단에 있는 메뉴에서 「도움말 표시」를 클릭해 언제든지 표시할 수 있습니다.\n메뉴 상단에는 각종 창의 표시/숨김 버튼이, 하단에는 단일 기능의 실행버튼이 있습니다.
●メイドに対して、何らかのを設定したい場合	● 메이드에 관해서, 무언가 설정하고 싶은 경우
基本的な操作として、メイドの位置を動かしたい、このモーションをさせたいといった場合、\r目的の対象となるメイドを『キャラクター選択』で選んでいる必要があります。\r『選んでいるメイド』に対してアクションを起こすという原則があり、\rモーションを変更する際や、表情を変えたい場合なども同様になります。\rこちらを念頭に置いて頂けますと、スムーズに操作が出来る場合があります。	기본적인 조작법으로, 메이드를 이동시키거나 특정한 모션을 취하도록 하고 싶은 경우,\n우선 설정하고 싶은 메이드를 「캐릭터 선택」창에서 선택해야 합니다.\n\n『선택한 메이드』에게 설정을 적용한다는 기본원칙이 있어서\n동작을 변경하거나, 표정을 바꾸고 싶은 경우도 마찬가지 입니다.\n이것을 염두해 둔다면 헤매지 않고 자연스럽게 조작할 수 있습니다.
キャラクター選択ウィンドウを開きながら、動かしているメイドを理解しつつ、\r目的に応じて各ウィンドウを開き、使わないウィンドウは最小化し、細々と弄るのが初めはオススメです。\r慣れてきたら大量のウィンドウを開きながらやってみましょう！エンジョ～イ、撮影モード！	처음에는 「캐릭터 선택」창을 열어서 메이드의 움직임을 일단 이해한 다음,\n목적에 맞는 창을 열고 사용하지 않는 창을 모두 최소화한 상태로 조작하는 것을 추천합니다.\n익숙해졌다면 복수의 창을 열어서 조작해 봅시다!\n\n엔조~이, 촬영 모드!
メイドを配置・選択をする	메이드의 선택과 배치
●メイドを配置・選択をする	● 메이드의 선택과 배치
メイドの配置や選択は「キャラクター選択ウィンドウ」から行えます。\r追加したいメイドのスロットをクリックすると、配置されます。\r配置しているメイドはスロットをクリックする事で選択できますが、\rゲーム画面でメイドに対して「Ctrl+クリック」する事でも選択が可能です。\rまたメイドスロットの色を見る事により現在の状態を知る事ができます。\r\r※最大12体まで配置できますが、パソコンのスペックによって数は変動します。	메이드의 선택과 배치는 「캐릭터 선택」창에서 설정할 수 있습니다.\n추가할 메이드의 슬롯을 클릭하면 배치됩니다.\n배치된 메이드는 슬롯을 클릭하는 것으로 선택할 수 있습니다만,\n게임 화면에서 메이드의 위에서 「Ctrl + 클릭」하는 것으로도 선택 가능합니다.\n또 메이드 슬롯의 색을 확인함으로써 현재의 상태를 알 수 있습니다.\n\n※ 최대 12명까지 배치할 수 있지만, 컴퓨터 사양에 따라 수는 줄어들 수 있습니다.
白+枠        ⇒メイドが配置され、選択されている状態です。\r灰色　　⇒メイドは配置されていますが、                         選択されていません。\r黒に近い⇒メイドが配置されていません。\r　　　　　クリックすると読み込まれ、配置されます。	흰색 + 테두리\n ⇒ 메이드가 배치되어 선택된 상태입니다.\n\n회색\n ⇒ 메이드가 배치되어 있지만 선택되지 않았습니다.\n\n어두운 회색\n ⇒ 메이드가 배치되지 않았습니다.\n 　 클릭하면 데이터를 읽어들여 배치합니다.
●配置を解除する	● 배치를 해제한다
キャラクター選択スロットの右上にある、「配置を解除」ボタンを押すと現在選択中のメイドを消去する事ができます。再配置しても設定したモーションや表情のデータは初期設定になりますのでご注意ください。\r配置したままメイドを非表示にしたい場合は、「メイドの移動や表示設定」項目をご覧ください。	「캐릭터 선택 슬롯」의 우측 상단에 있는 「배치해제」를 누르면 현재 선택중인 메이드의\n배치를 해제할 수 있습니다.\n메이드의 배치를 해제하면 선택한 메이드의 모든 설정값이 초기화되므로 주의해주세요.\n설정을 유지한 상태로 메이드를 숨기고 싶은 경우 「메이드의 이동과 표시설정」항목을\n참고해주세요.
メイドの移動や表示設定	메이드의 이동과 표시설정
▲設定画面	▲ 설정화면
▲移動軸	▲ 이동축
▲回転軸	▲ 회전축
●メイドの移動や表示設定	● 메이드의 이동과 표시설정
メイドの移動や表示設定は「キャラクター選択」右側部分の\r項目で設定できます。\r選択されているメイドに対して行われます。	메이드의 이동이나 표시 설정은 「캐릭터 선택」창의\n오른쪽에 있는 패널에서 설정할 수 있습니다.\n선택한 메이드의 설정을 변경합니다.
●メイドの表示を変える	● 메이드의 표시상태를 변경한다
「表示する」のチェックボックスをクリックする事で、表示/非表示を\r切り替えます。\r「配置の解除」とは違い、配置した状態での表示切り替えなの\rで設定は継続されます。	「표시한다」를 클릭해 메이드의 표시상태를 전환합니다.\n「배치해제」와 달리 배치한 상태에서 표시상태를 변경하면\n설정값이 유지됩니다.
●カメラフォーカス	● 카메라 포커스
カメラフォーカスのボタンを押すと、現在選択中のメイドにカメラが移動します。	「카메라 포커스」를 클릭하면 현재 선택한 메이드의 정면으로 카메라가 이동합니다.
●軸の表示設定を変える	● 축 표시설정을 변경한다
位置や回転を直観的に行うための軸の表示を設定します。\r移動軸や回転軸を表示するとメイドの原点にドラッグ移動できる\rUIを表示し、マウスで操作が可能です。	메이드의 위치와 회전각도를 직관적으로 조작하기 위한 UI의 표시상태를 변경합니다.\n이동축이나 회전축을 표시하면 메이드의 원점을 기준으로 UI가 나타나고,\n표시된 UI를 마우스로 드래그해 메이드의 위치와 회전각도를 조작할 수 있습니다.
●位置・回転・拡縮を設定する	● 위치ㆍ회전ㆍ크기를 설정한다
テキストボックスに直接値を入力する事で設定する事ができます。\r拡縮の場合スライダーを動かす事でも設定を行えます。	메이드의 설정은 텍스트 상자에 수치를 직접 입력하는 것으로도 변경할 수 있습니다.\n크기 설정은 해당 슬라이더를 움직이는 것으로 조작할 수 있습니다.
●メイドの位置・回転・拡縮を他のメイドにも適用したい場合	● 선택한 메이드의 설정값을 다른 메이드에게도 적용하고 싶은 경우
「位置」「回転」「拡縮」の項目の右横にある、「C」ボタンをクリックすると\rそれぞれ「位置」の場合は位置の値のみ、「回転」の場合は角度の値のみ、\r「拡縮」の場合は拡縮率の値のみ、\r一時的に各値を保持することが出来ます。\r（※通常のクリップボードの原理とは少し異なります。）\rコピーした状態で別のメイドをスロットから選択し、複製したい「位置」「回転」「拡縮」ボタンの「P」ボタンをクリックすると、\r保持している各値が自動的に入力されます。	「위치」「회전」「크기」항목의 오른쪽에 있는 각각의 「C」버튼을 클릭하면,\n「위치」에서 메이드의 X, Y, Z 좌표만 「회전」에서 메이드의 X축, Y축, Z축 회전 각도만\n「크기」에서 메이드의 확대 배율만을 일시적으로 저장합니다.\n(※ 일반적인 클립보드의 원리와는 조금 다릅니다.)\n\n임시공간에 값을 저장한 상태로 슬롯에서 다른 메이드를 선택하고,\n복제하고 싶은 「위치」「회전」「크기」항목의 오른쪽에 있는\n「P」버튼을 클릭하면 저장된 값이 자동으로 입력됩니다.
メイドのモーションを設定する	메이드의 모션설정
●メイドのモーションを設定する	● 메이드의 모션설정
メイドのモーションは「モーションウィンドウ」で設定できます。\r選択されているメイドに対して行われます。プルダウンメニューから、モーションのカテゴリーを選択することができます。\r使用用途に分けて、ある程度カテゴライズされています。\rリスト内に表示されているモーション名のボタンをクリックする事でモーションを変更できます。\r※追加プラグイン・パッケージなどによっては、内容に差異がある場合があります	메이드의 모션은 「모션」창에서 설정할 수 있습니다.\n선택한 메이드의 모션을 변경합니다.\n\n드롭다운 메뉴에서 모션의 카테고리를 선택할 수 있습니다.\n사용용도에 따라 어느정도 분류되어 있습니다.\n\n리스트에 표시된 모션이름의 버튼을 클릭해 모션을 변경할 수 있습니다.\n\n※ 추가 플러그인ㆍ패키지 등에 따라서 내용에 차이가 있을 수 있습니다.
●メイドのモーションをコントロールする	● 메이드의 모션을 컨트롤한다
「止める」のチェックボックスやスライダーバーを操作する事で、特定のポーズを維持する事ができます。	「정지」에 체크하고 슬라이더를 조정하면, 특정한 포즈를 유지할 수 있습니다.
メイドの表情を設定する	메이드의 표정설정
●メイドの表情を設定する	● 메이드의 표정설정
メイドの表情は「表情ウィンドウ」で設定できます。\r選択されているメイドに対して行われます。\r\rプルダウンメニューから、表情のカテゴリーを選択することができます。\r使用用途に分けて、ある程度カテゴライズされています。\r\rリスト内に表示されている表情名のボタンをクリックする事で表情を変更できます	메이드의 표정은 「표정」창에서 설정할 수 있습니다.\n선택한 메이드의 표정을 변경합니다.\n\n드롭다운 메뉴에서 표정의 카테고리를 선택할 수 있습니다.\n사용용도에 따라 어느정도 분류되어 있습니다.\n\n리스트에 표시된 표정이름의 버튼을 클릭해 표정을 변경할 수 있습니다.
●表情追加オプションについて	● 표정추가 옵션에 관해서
チェックマークをつける事で表情にプラスして効果をつける事ができます。\r頬染めと涙は1,2,3のどれか一つのみ追加する事ができます。	체크박스를 선택해 표정에 추가효과를 더할 수 있습니다.\n홍조와 눈물은 1, 2, 3중 한가지만 선택할 수 있습니다.
●視線設定について	● 시선설정에 관해서
この項目を設定する事で選択中のメイドの視線や顔の向きを変更できます。\r「視線追従」のチェックマークを切り替える事で視線の制御が可能です。\r「カメラへ顔を向ける」のチェックマークを外すとある程度メイドの顔向きを制御する事が可能です。\r「カメラへ顔を向ける」のチェックマークを外した場合「顔向き左右」と「顔向き上下」のスライダーで向きを調整する事ができます。\r※「顔向き左右」や「顔向き上下」は「カメラへ顔を向ける」のチェックマークを外した場合のみ有効になるオプションです。\r※顔向きの調整は設定しているモーションの影響を受けるので、範囲が狭い場合やうまく機能しない場合があります。	이 항목을 설정 하는 것으로 선택한 메이드의 시선과 얼굴의 방향을 조절할 수 있습니다.\n「시선 따라가기」의 체크를 변경하는 것으로 메이드의 시선을 제어할 수 있습니다.\n「카메라를 바라본다」를 체크하면 메이드가 카메라가 있는 방향으로 고개를 돌립니다.\n「카메라를 바라본다」의 체크를 해제해면 「얼굴 방향 (↔)」「얼굴 방향 (↕)」의\n슬라이더를 조절해 메이드의 얼굴방향을 어느정도 제어할 수 있습니다.\n\n※ 「얼굴 방향 (↔)」「얼굴 방향 (↕)」는 「카메라를 바라본다」의 체크를 해제한\n경우에만 설정할 수 있는 옵션입니다.\n\n※ 얼굴 방향의 조정은 선택한 모션의 영향을 받아, 범위가 좁아지거나 정상적으로 작동하지\n않을 수 있습니다.
メイドにアイテムを持たせる	메이드에게 아이템을 장착한다
●メイドにアイテムを持たせる	● 메이드에게 아이템을 장착한다
「メイドアイテムウィンドウ」からメイドに持たせるアイテムを設定できます。\rプルダウンメニューから持たせる箇所を選択し、それぞれ1アイテムずつ持たせられます。\r\r基本的にアイテムは専用モーションの角度や配置に設定されています。\r※例)「はたき」モーションには「はたき」のアイテム等\r\rモーションを設定して、その後持たせるアイテムを選ぶという順序がおすすめです	「메이드 아이템」창에서 메이드가 장착할 아이템을 설정할 수 있습니다.\n드롭다운 메뉴에서 아이템을 장착할 부분을 선택해,\n부위별로 아이템을 1개씩 장착할 수 있습니다.\n\n기본적으로 아이템은 전용 모션에 맞춰서 각도와 위치가 설정되어 있습니다.\n예)「먼지털기」모션에는 「먼지떨이」아이템 등.\n\n모션을 설정한 후 장착시키고 싶은 아이템을 선택한다.\n라는 순서로 설정하시는 것을 추천합니다.
背景を変更する	배경을 변경한다
●背景を変更する	● 배경을 변경한다
背景は「背景ウィンドウ」で設定できます。\r\rプルダウンメニューから、背景のカテゴリーを選択することができます。\r夜伽シーンで主に使われる背景と、その他一般シーン等で使われる背景にカテゴライズされています。\r\rリスト内に表示されている背景名のボタンをクリックする事で背景を変更できます	배경은 「배경」창에서 설정할 수 있습니다.\n\n드롭다운 메뉴에서 배경의 카테고리를 선택할 수 있습니다.\n밤시중 장면에서 사용되는 장소와 기타 일반 장면 등에서 사용하는 장소로 분류되어 있습니다.\n\n리스트에 표시된 배경이름의 버튼을 클릭해 배경을 변경할 수 있습니다
背景にオブジェクトを追加・削除する	배경에 객체를 추가ㆍ제거한다
●背景にオブジェクトを追加・削除する	● 배경에 객체를 추가ㆍ제거한다
「背景オブジェクトウィンドウ」でオブジェクトの追加や削除が行えます。\r初期状態ではウィンドウが表示されていないため、ゲーム画面下部のメニューから「背景オブジェクト」をクリックし、ウィンドウを表示させてください。\r\r左の「オブジェクト一覧」から追加したいオブジェクトのボタンをクリックすると追加されます。\r右の「配置済みオブジェクト一覧」のオブジェクトボタンをクリックすると削除できます。	배경 소품은 「배경 소품」창에서 추가하거나 제거할 수 있습니다.\n초기 상태에서는 창이 표시되지 않으므로 화면 하단에 있는 메뉴에서\n「배경 소품」을 클릭하고 창을 표시하세요.\n\n「소품 선택」리스트에 표시된 소품이름의 버튼을 클릭해 배경에 객체를 추가할 수 있습니다.\n같은 종류의 소품을 중복해서 추가하는 것도 가능합니다.\n「배치된 소품」에 추가된 소품이름의 버튼을 클릭해 해당 객체을 제거할 수 있습니다.
(P)がついているオブジェクトについて	● (P)가 붙어있는 소품에 관해서
(P)がついているオブジェクトは「パーティクルオブジェクト」です。\r特定の背景や空間に彩りを加えるものになります。	(P)가 붙어있는 소픔은 『파티클 오브젝트』입니다.\n특정한 배경이나 공간에 흥취를 더할 수 있습니다.
通常のオブジェクトとは移動や回転、拡縮の扱いが異なります。	일반적인 소품과는 이동이나 회전, 크기의 설정방법이 다릅니다.
試行錯誤で調整してみましょう。	시행착오를 거치면서 조정해 봅시다.
背景やオブジェクトの移動・表示設定	배경이나 객체의 이동과 표시설정
●背景やオブジェクトの移動や表示設定	● 배경이나 객체의 이동과 표시설정
背景やオブジェクトの移動・表示は「背景座標ウィンドウ」で設定できます。\r初期状態ではウィンドウが表示されていないため、\rゲーム画面下部のメニューから「背景座標」をクリックし、ウィンドウを表示させてください。\r\rまずは対象となるオブジェクトを選択してください。\r「背景座標ウィンドウ」の上部に表示されているリストから選択可能です。\r\r下部にある設定項目に関しては、メイドの移動や表示設定と同じです。\r詳しくは「メイドの移動や表示設定」のヘルプをご確認ください。	배경이나 객체의 이동과 표시상태는 「배경 설정」창에서 설정할 수 있습니다.\n초기 상태에서는 창이 표시되지 않으므로 화면 하단에 있는 메뉴에서\n「배경 설정」을 클릭하고 창을 표시하세요.\n\n우선 설정을 변경할 객체를 「배경 설정」창 상단의 리스트에서\n선택해주세요.\n\n하단의 설정 패널은 메이드의 이동이나 표시설정과 동일합니다.\n자세한 내용은 「메이드의 이동과 표시설정」을 참고해주세요.
対象を選択	　대상을 선택
選択した対象に対する操作項目	　선택한 대상과 관련된 설정값
ショートカット一覧	단축키 목록
●ショートカット一覧	● 단축키 목록
・メイドを選択する\r選択したいメイドを「Ctrl」+左クリック\r\r・メイドの軸表示を切り替える\rキーボード「F1」\r\r・選択中のメイドにカメラフォーカス\rキーボード「F2」\r\r・背景オブジェクトの軸表示を切り替える\rキーボード「F3」\r\r・選択中の背景オブジェクトにカメラフォーカス\rキーボード「F4」	메이드를 선택한다.\nㆍ선택하고 싶은 메이드를 「Ctrl」+「왼쪽 클릭」\n\n메이드의 축 표시를 변경한다.\nㆍ키보드「F1」\n\n선택중인 메이드의 정면으로 카메라를 옮긴다.\nㆍ키보드「F2」\n\n배경 소픔의 축 표시를 변경한다.\nㆍ키보드「F3」\n\n선택중인 배경 소품의 정면으로 카메라를 옮긴다.\nㆍ키보드「F4」
BGM一覧	BGM 목록
03.優しい光に包まれて	03. 자상한 빛에 휩싸이고
07.ティータイム	07. 티타임
10.禁断の扉	10. 금단의 문
12.雅	12. 청아
14.キッチンミュージック	14. 키친 뮤직
15.スケジュールは正確に	15. 스케줄은 정확히
16.夜の通り	16. 밤거리
17.書斎にて	17. 서재에서
19.平穏な時	19. 평온한 때
20.お花にごあいさつ	20. 꽃에게 인사
ドキドキ ☆ Fallin\' Love	두근두근 ☆ Fallin' Love
ドキドキ Fallin\'Love -inst-	두근두근 ☆ Fallin' Love -inst-
