主人公の名前を決めて下さい。	주인공의 이름을 결정해 주세요.
こ、この胸って、小を兼ねるのでしょうか……？　あまり兼ねられていないような、うぅうっ……	이, 이 가슴은, 작은 것을 포함하는 걸까요……? 그다지 포함할 수 있는 것 같진 않은……
あはは、どうだろうね。ただ、俺はドキドキもするけどね。	아하하, 어떨까. 그냥, 나는 두근두근하는데 말야.
ドキドキ、ですか……。わたしも、その……今すごくドキドキしてるんです……	두근두근, 인가요……. 저도, 그…… 지금 엄청 두근두근하고 있어요……
あっ……え、その……うぅっ……あの……えっと……したこと、ないです……	앗…… 그, 그…… …… 저…… 음…… 한 적, 없어요……
キスも……したこと、ありません……	키스도…… 한 적, 없어요……
へぇ、そうなんだ。	헤에, 그렇구나.
は、はいっ……ありません。ファーストキス、まだです……	네, 네…… 없어요. 첫 키스, 아직이에요……
あ、うううっ……そんなこと言わないで下さい。見ないで下さい、わたしの、唇……	아…… 그런 말 하지 말아 주세요. 보지 마세요, 제, 입술……
そんなに恥ずかしそうにされてもね、舌を入れたりも……するんだよ？	그렇게 부끄러워 해도 말야, 혀를 넣기도…… 한다구?
は、うぅっ……嘘です、そんな事するんですか……？　ご主人様も、わたしに……？	아………… 거짓말이죠, 그런 걸 해요……? 주인님도, 저에게……?
その、お口、綺麗にしなきゃいけませんね。うぅ……どきどきします……	그, 입술, 깨끗하게 하지 않으면 안 돼요. …… 두근두근해요……
えぇっ……！？　い、言えません、言いたくありません！	에엣……!? 마, 말할 수 없어요, 말하기 싫어요!
ご主人様に隠し事はできないよ。正直に答えてね。	주인님에게 숨기면 안 돼. 솔직히 대답해.
…………は、はい……し、したこと、あります……	………… 네, 네…… 하, 한 적, 있어요……
……どんな風に？	…… 어떤 식으로?
……優しく、その、キスしたり、その……終わった後も、優しく抱きしめてくれました……あ、あううっ……	……다정하게, 그, 키스하거나 그…… 하고나서도, 다정하게 껴안아 줬어요……아……
……ふーん。何かちょっと歯切れが悪いけど……まぁ、恥ずかしがってるだけかな？	…… 흐음. 뭔가 좀 애매하지만…… 뭐, 부끄러워하고 있을 뿐인가?
もう、お、終わりにしていいですか……？　わたし、恥ずかし過ぎて、その……死にそうです……	이제, 그, 그만해도 되죠……? 저, 너무 부끄러워서, 그…… 죽을 것 같아요……
ふふ……まぁ、いいよ。	후후…… 뭐, 좋아.
……は、はい、その……それなり、に……	…… 네, 네, 그…… 그런대, 로……
……ご主人様は、そういう女性はお嫌いですか？	…… 주인님은, 그런 여자는 싫어하세요?
別に気にしないよ？	별로 신경 안 쓰는데?
良かった、その、軽い女の子だって思われるのイヤだなって。	다행이다, 그, 가벼운 여자라고 생각하는 건 싫어서.
……意外だけどね。結構大人しそうなのに。	…… 의외지만 말야. 꽤나 얌전한 것 같은데.
あの、わたし……その、流される事が多くって……も、求められたら、断れなくって……	그, 저…… 그, 분위기에 휩쓸린 적이 많아서…… 부, 부탁하면, 거절을 못 해서……
詳しく言ってくれる？	자세하게 말해 줄래?
その、うぅ……口で上手く、伝えられないから、カラダで満足してくれるなら、いいかな、と……	그…… 말로는 제대로 전해지지 않으니까, 몸으로 만족해 준다면 좋을까, 라고……
それに、わたしも何もいえないから、ちょっと乱暴にされちゃったり、し……しました……	그리고, 저도 아무말도 안 하니까, 조금 난폭하게 되어 버리거나 해…… 했어요……
そっか、そう聞くと性格通りだな……	그런가, 그렇게 들으니 성격대로네……
…………はい、その……うぅうっ……	………… 네, 그…………
……たくさん、したことあるんだ？	…… 많이, 한 적 있지?
気持ちいいの、好きなんだ？	기분 좋은 거, 좋아하지?
えっと、その……たくさん、したことあります……うぅ～っ……わたし、えっちなのでしょうか……	음, 그…… 많이, 한 적 있어요………… 저, 야한 걸까요……
ご主人様、そんな目で見ないで下さい……今はご主人様のメイドなのですから、そんな、もう、いっぱいの男性と、する事は……	주인님, 그런 눈으로 보지 마세요…… 지금은 주인님의 메이드니까, 그런, 이제, 많은 남자라는 건……
俺次第なんだけどね。	내 나름이지만 말야.
こ、答えなくちゃいけませんか……？	대, 대답하지 않으면 안 될까요……?
それはそうだよ。	그건 그래.
……えっと、その、できるだけ、長い時間……その、えっちなこと……し、してほしいなって感じ、です……	…… 음, 그, 되도록이면, 오랫 동안…… 그, 야한 일…… 해, 해 줬으면 하는 느낌, 이에요……
短いのは、イヤです。んぅ……激しいのは好きですけど、いっぱいしたいなって、感じ、です……	빨리 끝나는 건, 싫어요. …… 격렬한 건 좋아하지만, 많이 하고 싶다는, 느낌, 이에요……
あぅううううっ……こんな、わたし、あう、やだ、やぁあっ……何を言っているの……！？	……………… 이런, 저…… 싫어, 싫어엇…… 무슨 말을 한 거야……!?
……どきどきしてきたな。	…… 두근두근해졌어.
え、あっ……は……はぅうっ……その、えっと……	에, 앗…… 하…… …… 그, 음……
……したことあるんだ？　どんな風に？	…… 한 적 있네? 어떤 식으로?
……い、一度だけですよ……？	…… 하, 한 번 뿐이라구요……?
一度だけ、えっと……い、いれてもらいました……ちょっと泣きそうでしたけど、その……	딱 한 번, 음…… 너, 넣어 졌어요…… 조금 울어버릴 것 같았지만요, 그……
気持ちよかったの？	기분 좋았어?
…………ぅううう～っ……知らないです、知らないですっ……ご主人様は、ひどい人なんですね……うぅ……	……………… 몰라요, 몰라요…… 주인님은, 너무하시네요…………
随分恥ずかしがるなぁ。	꽤나 부끄러워하네.
……もしかして普通にしたことないの？	…… 혹시 평범하게 한 적 없어?
…………は、はい、お尻でしか、したこと、ありません。	………… 네, 네, 엉덩이로 밖에, 한 적, 없어요.
そうなんだ、変わってるね……	그렇구나, 특이하네……
そ、そうですよね、変ですよね。はううっ……ごめんなさい、わたし、変な女の子です……	그, 그러네요, 이상하네요. ……죄송해요, 저, 이상한 여자에요……
えっと……は、はい、わたし、した事あります……ぅうっ……	음…… 네, 네, 저, 한 적 있어요…………
あう、その……は、はい、それなりに、しました……	……그…… 네, 네, 나름대로, 했어요……
……それなりって事は、結構してるって事だね。	…… 나름대로라는 건, 상당히 했다는 거네.
は、はい。そうです……けっこう……しちゃいました……	네, 네. 맞아요…… 꽤…… 했어요……
まだ、その……普通のセックスもしたことないのに……わ、わたしへんですよね……	아직, 그…… 평범한 섹스도 한 적 없는데…… 저, 저 이상하죠……
それは変わってるね。相手の男の人も……	그건 특이하네. 상대방 남자도……
あうう、わたしも変だと思ったのですけど……お尻でばっかり、セックスしてしまって……	……저도 이상하다고는 생각했는데…… 엉덩이로만, 섹스 해서……
息苦しいって分かってるのに、あうう、こっちでしちゃうんです……	답답하다는 건 알지만…… 거기로 해 버려요……
うぅ……ご主人様は意地悪です、そんな事聞くのですね……	…… 주인님은 짖궂네요, 그런 걸 묻는 거네요……
その、質問の答えですが……あうう、したこと、あります、それも……多分、ご主人様が思っている以上に……	그, 질문의 대답인데요…… 한 적, 있어요, 그것도…… 아마, 주인님이 생각하고 있는 것 이상으로……
もしかして、お尻だけでしかした事ないとか？	혹시, 엉덩이로만 했다든가?
だって、その、癖になっちゃってぇ……あうう、アソコが疼く事も、あるのですが……お尻にされるの好きで……	왜냐면, 그, 버릇이 되어 버려서…… 거기가 달아오른 적도, 있었지만…… 엉덩이로 하는 걸 좋아해서……
いっぱいセックスしたことあるのに、処女だなんて……へ、変態なのでしょうか、わたし……	잔뜩 섹스 했는데, 처녀라니…… 벼, 변태인 걸까요, 저……
えっ……！？　そ、そんな事、知りませんよう……	엣……!? 그, 그런거, 몰라요……
ちゃんと答えないとね。	제대로 대답하지 않으면 말야.
あ、あうっ……といっても、わたし、あの、セックスは一回です……でも、その……相手の男の人に、お、お尻の穴まで……はううっ……	아…… 그래도, 저, 그, 섹스는 1번이에요…… 근데, 그…… 상대방 남자한테, 어, 엉덩이 구멍까지…………
思い出しても、恥ずかしいですぅ……うぅっ……お尻まで、その……はいってきて……ああああっ……わたし、何を言っているのでしょう……！	생각하니, 부끄러워요………… 엉덩이까지, 그…… 들어와서…… 아아아앗…… 나, 무슨 말을 하는 거야……!
ふふ、そうか……	후후, 그런가……
あうう、答えないと、いけないのですよね……その、わたし、それなりに、えっと……セックスはしたこと、あります……くぅ……	……대답하지 않으면 안 되는 건가요…… 그, 저, 나름대로, 음…… 섹스 한 적, 있어요…………
えっと、その……一度に、両方苛められちゃう事もあって……うぅっ……どうしてご主人様にこんな事を……	음, 그…… 한 번에, 양쪽 모두 괴롭혀져 버린 적도 있어서………… 왜 주인님에게 이런 걸……
ご主人様はメイドの事を知っておきたいからね……もう少し、話してくれる？	주인님은 메이드를 알아 두고 싶으니까…… 좀 더, 이야기 해줄래?
うぅ、わたし、その……お尻の穴でもアソコでも、その、両方で……い、い……イった事があってぇ……何度も何度も、その……相手の男の人に……	저, 그…… 엉덩이 구멍에서도 거기에서도, 그, 양쪽 모두로…… 가, 가…… 가버린 적이 있어서…… 몇번이나 몇번이나, 그…… 상대방 남자에게……
続けて……	계속해……
思い出してもドキドキします……その、いっぱいされちゃった後……太いの抜かれたあとも……両方のえっちな穴、ヒクヒクしてぇ……はぁ、はぁ、ご主人様、これ以上は許してください……	생각만 해도 두근두근해요…… 그, 잔뜩 하고 나서…… 굵은 게 뽑아진 뒤에도…… 양쪽의 야한 구멍이, 움찔움찔해서…… 하아, 하아, 주인님, 이제 용서해 주세요……
は……はう、えっと、その……あり、ます……セックス、しました……	……음, 그…… 있, 어요…… 섹스, 했어요……
……すっごい事、してそうだよね。ご主人様に教えてほしいな。	…… 엄청난 걸, 했나보네. 주인님에게 가르쳐주면 좋겠는데.
あ、はい……その、一度……二人っきりじゃないセックスを、その……	아, 네…… 그, 한 번…… 둘만이 아닌 섹스를, 그……
詳しく教えて。	자세하게 가르쳐 줘.
あの、えっと……アソコと、お尻に、い、一度に……挟まれて、してもらいました……	저, 음…… 거기와 엉덩이에, 하, 한꺼번에…… 쑤셔지게, 되었어요……
あうう、結局、最後までしちゃいました……その、たくさん出されちゃって……ご主人様、ごめんなさい、わたし、こんなメイド……だめですよね？	……결국, 끝까지 해 버렸어요…… 그, 잔뜩 나와서…… 주인님, 죄송해요, 저, 이런 메이드라…… 안되겠죠?
……構わないよ、エッチで素敵だよ。	…… 상관없어, 야하고 멋져.
あ、はいっ……ありがとうございます、早速着替えてきますね。	아, 넷…… 감사합니다, 빨리 갈아입고 올게요.
えっと……どう、でしょうか？	음…… 어때, 요?
愛らしい衣装ですね。お人形さんになったみたいです、ご主人様、本当にありがとうございますっ。	사랑스러운 의상이네요. 인형이 된 것 같아요, 주인님, 정말 고마워요.
わわ、ちょっと、かっこいい感じの衣装ですね。ちょっと大人な感じがします……	와아, 좀 멋진 느낌의 의상이네요. 조금 어른스러운 느낌이 들어요……
え、えっと……胸元とか、おへそとか……大胆です。セクシーな感じがします……ご主人様、あまり見ないでくださいよう……	으, 음…… 가슴이라든지, 배꼽이라든지…… 대담하네요. 섹시한 느낌이 드는…… 주인님, 너무 보지 말아 주세요……
フリルがとっても可愛いですね！　えへへ……でも、わたしにこの衣装が似合うでしょうか？	프릴이 너무 귀엽네요! 에헤헤…… 그치만, 제게 이 의상이 어울릴까요?
えへへ……とっても可愛い衣装ですね。ひらひらして、ふりふりして。こんな衣装、着てみたかったです！	에헤헤…… 너무 귀여운 의상이군요. 팔랑팔랑 하고, 살랑살랑 하고. 이런 의상, 입어 보고 싶었던 거예요!
わわ、なんだか豪華で、きらきらしていて……身が引き締まる感じがします！	와아, 뭔가 호화롭고, 반짝반짝 빛나고 있어…… 몸이 긴장되는 느낌이 들어요!
そ、そうですか？　ご主人様にそう言って頂いて、こ、光栄です。	그, 그래요? 주인님이 그렇게 말해 주셔서, 여, 영광이에요.
はぁ、緊張しました……	하아, 긴장했어요……
まぁ、別に形だけの面接だ。	뭐, 어차피 형식적인 면접이다.
あっ……は、はいっ！　今日からよろしくお願いします、ご主人様っ。	앗…… 네, 네! 오늘부터 잘 부탁드려요, 주인님.
うぅっ……うぅ～っ……何で、こんな格好をしなきゃいけないんですか……あぅうっ……	…………왜 이런 꼴을 하지 않으면 안 되나요?………
だ、だって、その……この衣装で……ご主人様が、その……	그, 그래도, 저기…… 이 의상으로…… 주인님이, 그게……
こんなのおかしいです、エッチです、いやらしいですっ……しょ、初対面の男の人の、前で……うぅ～っ……	이런 건 이상해요, 야해요, 음란해요…… 처, 처음보는 남자, 앞에서…………
できるわけないですようっ！　な、何を、何を考えてっ……	할 수 있을 리가 없잖아요! 뭐, 뭘, 뭘 생각하는 건지 ……
わ、わかりましたよう……はううっ……えっちなご主人様の、メイドになっちゃったみたいですぅ……	아, 알겠어요…………야한 주인님의, 메이드가 된 것 같네요……
は、始めまして……ご主人様。きょ、きょうは、その、わたしの為にお時間を作ってくださって……うぅうっ……	처, 처음 뵙겠습니다……주인님. 오, 오늘은, 그, 저를 위해 시간을 내 주셔서…………
……む、胸を見ながら言わないでください……視線がいやらしいです……！	……가, 가슴을 보면서 말하지 마세요…… 시선이 야해요……!
顔をじっと見るのも恥ずかしいかなって。	얼굴을 가만히 보는 것도 부끄러운 걸까.
胸を見られるほうが恥ずかしいですようっ！	가슴을 보여지는 쪽이 부끄러워요!
……あ、あうっ……今この時、しっかりと身にしみて分かりました……	…………지금 바로, 제대로 가슴에 사무치도록 알았어요……
ご主人様にエッチな事したり、とか……エッチな格好をして楽しませたり……とか、ですよね？	주인님에게 야한 걸 한다든지…… 야한 모습을 해서 즐겁게 한다……든지, 네요?
……だ、大丈夫、です……大丈夫じゃないですけど、大丈夫ですっ……！	……괘, 괜찮, 아요…… 괜찮지 않지만, 괜찮아요……!
あ、うん。その通りみたいだね。	아, 응. 그런 것 같네.
でも、それならいいな、そこだけは俺も聞いておきたかったからさ。	그래도, 그렇다면 좋아, 그것만은 나도 들어 두고 싶었으니까.
こ、こんなわたしで、楽しんでいただけるのなら……メイドとして頑張らせていただきます、けど……	이, 이런 저로, 즐기실 수 있다면……메이드로서 열심히 할게요, 그치만……
あ、うぅっ……わたしの裸なんて見ても、面白くないですよね……？	아…… 제 알몸을 봐도, 재미는 없겠죠……?
そんな事ないよ、俺、今すっごく興奮してるんだよ？	그렇지 않아, 나 지금 엄청 흥분하고 있다구?
そ、そうなのですか……？　	그, 그런가요……?
えっ、えぇえっ……！？　ちょっ……そ、そんなの、困りますっ……！　恥ずかしいです、恥ずかしいですようっ……！	엣, 에에엣……!? 잠깐…… 그, 그런 건, 곤란해요 ……! 부끄러워요, 부끄럽다구요……!
も、もうっ……わたしのご主人様は、意地悪なご主人様みたいですね……は、早くその、面接……始めませんか……？	저, 정말…… 제 주인님은, 심술궂은 주인님인 것 같네요…… 빠, 빨리 그, 면접……시작하지 않을래요……?
そうだね、このままずっとっていうのは酷い話だから……面接、始めようか。	그러네, 이대로 계속 하는 건 너무하니까…… 면접, 시작할까.
早めに終わらせてくださいね……？	빨리 끝내 주셔야 해요……?
あ、あまり見ないで下さい……	너, 너무 보지 마세요……
へっ……！　ぱ、ぱいずり……ぱいずり……	헷……! 파, 파이즈리…… 파이즈리……
おちんちんをおっぱいで挟んでしごく事をぱいずりって言うんだよ。	자지를 가슴 사이에 껴서 훑어 비비는 일이라고 말하던데.
具体的に説明しないでください～……！　それぐらい、えっと、その……うぅ～っ……	구체적으로 설명하지 마세요∼……! 그 정도는, 음, 그……우우~웃……
あの、えっと、わたし、ご主人様にぱいずりをしないといけない時がくるのでしょうか……	저기, 음, 저, 주인님에게 파이즈리하지 않으면 안 되는 때가 오는 걸까요……
しないといけないってわけじゃないけど、俺が希望すれば、ね。	하지 않으면 안 된다고 하는 건 아니지만, 내가 원한다면, 말이지.
ご主人様の……お、お、おちんちん……おっぱいで……？　ああ、ああああ～っ……	주인님의……자,자 , 자지……가슴으로……? 아아, 아아아아~앗……
はは、ちょっと苛めすぎたかな……？	하하, 너무 괴롭혔으려나……?
じーっと見ないで下さい……視線がえっちです、もう……	빤히 보지 마세요……시선이 야해요, 정말……
うぅ、自惚れている訳では無いのですが、男性の視線を胸に感じる事が良くあって……	우우, 잘난척 하는 건 아니지만요, 남자들의 시선이 가슴으로 간다는 걸 느낀 적이 자주 있어서……
うぅ、おっぱいを見ながら言わないでくれますか……？	우우, 가슴을 보면서 말하지 말아주실래요……?
ダメに決まっていますっ！　あ、いえ、その、ダメというのは、ここではということで……その、夜伽の事は分かっていますから……	안되는 게 당연하잖아요! 아, 아뇨, 그게, 안 된다고 하는 건, 여기에서 그렇고…… 그, 밤시중의 일은 알고 있으니까요……
……えっと、ちゃんとした……え、えっちなことをする場所で、他の人が誰もいなくて、雰囲気があって、そういう場所でなら……	……음, 제대로……. 야, 야한 일을 하는 장소에서, 다른 사람이 아무도 없고, 분위기가 있는 그런 곳에서라면……
……俺にいくらでも胸を触らせてくれるんだ？	……내게 얼마든지 가슴을 만지게 해 주는 거네?
…………はううっ……だって、それが、その……メイド、ですから……メイドですから、その、こんな格好も、していますし……	…………하우웃……하지만, 그게, 그……메이드, 니까요……메이드니까, 그, 이런 모습도, 하고 있고……
楽しみだな。俺もムラムラしてきたよ。	기대되네. 나도 불끈불끈하게 됐어.
…………お手柔らかに、お、お願いしますぅ……	…………살살, 부, 부탁드려요……
んっ……ご主人様がお好きなら、構いませんが……こんな格好でじっと見られるのは……その……	…… 주인님이 좋아하신다면, 상관 없는데요…… 이런 모습으로 빤히 보여지는건…… 그……
ご主人様の身体を……おっぱいで、ですか？　えっと……は、はい……ご主人様が望むのなら、構いませんが……	주인님의 몸을……가슴으로, 인가요? 음……네, 네……주인님이 원하신다면, 상관 없는데요……
ふぇ？　えっと、ご主人様の身体をおっぱいで、その……あ、洗って……えっと、うぅっ……	후에? 음, 주인님의 몸을 가슴으로, 그……씨, 씻고……음, 우웃……
そんな風にされたら、普通、男のアレはどうなるのかな。	그런 식으로 되면, 보통 남자의 거긴 어떻게 될까.
……わ、わたしのおっぱいで、興奮して……えっと、えぇっと……その……どうなるのでしょうね……？	……저, 저의 가슴으로, 흥분해서……음, 으음……그……어떻게 되는 걸까요……?
ふふ、流石にそれぐらいは分かるでしょ？　ご主人様が言ってほしいっていってるんだからさ……	후후, 역시 그 정도는 알지? 지금 주인님이 말해달라고 하고 있는건데……
……ご主人様の、お、おちんちんが……わたしのおっぱいで洗われて……お、おっきくなってぇ……うぅっ……	……주인님의, 자, 자지가…… 제 가슴으로 씻어져서……커, 커져서……우웃……
そ、そうなった場合は、えっと、あの……おちんちん、ど、どうすればいいですか？　手でしたり、とか、あの、く、くちで……とか……	그, 그렇게 되었을 땐, 음, 저……자지, 어, 어떻게 하면 되나요? 손으로 한다든지, 저, 이, 입으로……한다든지……
俺が希望すれば、そのままえっちしたり、とか。	내가 원하면 그대로 섹스한다, 든가.
はううっ……そのままえっちしちゃうんですね……ご主人様の身体を洗う時は、カクゴしておきます……	하우웃…… 그대로 섹스해 버리는 거네요…… 주인님의 몸을 씻겨드릴 땐, 각오할게요……
……うぅ、おっきいと、あんまり良い事ばっかりじゃないんですよ……？	……우우, 크면 그리 좋은 일만 있는건 아니거든요……?
貧乳の女の子に喧嘩を売ったなぁ……	빈유인 여자들에게 싸움을 걸었구나……
そ、そんなっ！　だって、うぅ、足元が見えにくかったり、肩がこったり……い、今だってご主人様にえっちなめで見られていますし……	서, 설마요! 왜냐면, 우우, 발밑이 잘 안 보이고, 어깨가 결리기도 하고…… 지, 지금처럼 주인님에게 야한 눈으로 보여지기도 하고……
そりゃ、そんな格好をした女の子のおっぱいなんて、絶対見るに決まっているでしょ？	그럼, 그런 모습을 한 여자 아이의 가슴은, 절대로 보는 게 당연하잖아?
さも当然のように言わないでくださいよう、うぅ、走ったりしたら、男の人に揺れているところを見られちゃったり、水着だって可愛いの選べなかったり……	그렇게 당연한 것처럼 말하지 마세요, 우우, 달리기를 하면, 남자들에게 흔들리고 있는 걸 보여지거나, 수영복도 귀여운 걸 못 고르고……
水着……そうなんだ、俺のメイドになれば、その心配は無いかな。	수영복…… 그렇구나, 내 메이드가 되면, 그런 걱정은 없으려나.
……うぅ、すっごく嬉しくて、頼もしい事を言ってくださっているのは分かりますが……ただ恥ずかしいだけ……です……	……우우, 엄청 기쁘고, 믿음직한 말을 해 주시고 있는 건 알지만요……그냥 부끄러운 것뿐……이에요……
まぁ、そうだね。	뭐, 그렇지.
……でも、その、可愛いお洋服とか、きれいなお洋服とか……色々着せてくれるのは嬉しいかも、です……	……그래도, 그, 귀여운 옷이라든지, 예쁜 옷이라든지…… 여러가지 입혀 주시는 것은 기쁠지도, 요……
……少なくとも、い、今よりは……はううっ……恥ずかしいです……	……적어도, 지, 지금보다는……하우웃……부끄러워요……
ひえっ……！？　せ、セックス、セックスですか？　はぁ、はうっ……した、したこと、ないです……処女ですっ……	히엣……!?, 섹스, 섹스인가요? 하아, 하웃……한, 한 적, 없어요……처녀에요 ……
……キスも、えっと……したこと、ない、です……	……키스도, 음……한 적, 없어, 요……
ご、ご主人様がさせたんです！	주, 주인님이 시킨 거에요!
えっ……！？　えぇっ……！　どういう風に、とか……考えた事……あ、あるかな、どうしよう……	에……! 에엣……! 어떤 식으로, 라든지…… 생각한 적은…… 이, 있으려나, 어쩌지……
やっぱり、うぅ……キスもしていないのに、えっちしちゃうのはイヤだから……一番最初にしてほしい、でしょうか……	역시, 우우……키스도 한 적 없는데, 섹스해버리는 건 싫으니까요…… 제일 처음에 해 주셨으면, 해요……
ああ、わたし、こんな格好でなんてこと……！	아아, 저, 이런 모습으로 무슨 말을……!
……じゃあ、夜伽した時に、一番最初にしてあげるよ。	……그럼, 밤시중 할 때, 제일 먼저 해 줄게.
…………わかりました……ああ、ご主人様と、その……ファーストキス、しちゃうんですね……	…………알겠어요……아아, 주인님이랑 그……첫 키스, 해 버리는 거네요……
ふぇええっ！？　こ、これ以上……！　恥ずかしい事を聞かないでくださいよう……！	후에에엣!? 더, 더는……! 부끄러운 걸 묻지 말아 주세요……!
ただでさえ、うぅっ……えっちな格好をして、恥ずかしいのに……初めての時の事だなんて……	안그래도, 우웃 ……야한 모습을 하고 있어서, 부끄러운데……첫 경험 때를……
……は、はい……でも、初対面の男の人に、そんな事、言いません……！	……네, 네…… 그래도, 초면인 남자에게, 그런 건, 말 안해요……!
そんなことありませんっ！　ふ、普通です、普通ですようっ……！　普通に、男の人に、えっと……うぅっ～っ……	그렇지 않아요! 펴, 평범해요, 평범하다구요……! 평범하게, 남자에게, 음……우우~웃……
どういう意味か、分かるよね？	무슨 뜻인지, 알지?
…………お、おまんこにっ……おちんちん……い、入れられて……あ、あうっ……動かれて……	…………보, 보지엣…… 자지…… 너, 넣어져서…… 아, 아웃…… 움직여져서…
最後までしてもらった？	끝까지 해줬어?
……は、はうっ……は、はい……大丈夫な日でしたから……そのまま出してもらいました……	……하, 하웃 ……네, 네……괜찮은 날이었으니까요……그대로 싸게 해줬어요……
……ふふ、俺もそこまで言ってくれるなんて思わなかったよ。ひょっとしてエッチな格好をして、興奮しちゃった？	……후후, 나도 거기까지 말해 줄 거라고는 생각 못 했어. 혹시 야한 모습을 해서, 흥분해 버렸어?
う……うぅ～～～っ……！　ご主人様、酷いです、酷いです～っ……！	우…… 우우∼~~웃……! 주인님, 너무해요, 너무해요~옷……!
……はい、その、したことあります……あの、えっと……普通より、たぶん、多いぐらい……	……네, 그, 한 적 있어요……저기, 음……보통보다, 아마, 많을……
あ、あううっ……アソコ、見ないで下さいませんか……？　くぅんっ……	아, 아우웃…… 거기, 보지 말아 주실래요……? ……
わたし、その……男の人がしたいって言われたら、断れなくって……お、押しに弱いといいますか……	저, 그……남자가 하고 싶다고 말하면, 거절할 수 없어서……부, 부탁에 약하다고 할까요……
へぇ、たとえば？	헤에, 예를 들면?
……男の人とお酒を飲んでいて、えっと、そこから先の記憶が無くって……	……남자와 술을 마시다가, 음, 거기서부터는 기억이 없어서……
起きたらベッドの上で……か、身体中に……うぅ～……なんていうか、その……アソコも、えっと……	일어나면 침대 위에서…… 모, 몸 안에……우우∼……뭐라고 할까, 그…… 거기도, 음……
ひぐっ……ひ、酷いですっ……でも、ご主人様のメイドになったら、ご、ご主人様に精一杯尽くしますから……	……너, 너무해요 ……그래도, 주인님의 메이드가 되면, 주, 주인님에게 정성을 다할테니까요……
エッチな格好してくれているし、それは分かってるよ。	야한 모습을 해 주고 있고, 그건 알고 있어.
は、はいっ……頑張りますね。気持ち良い事は、その……嫌いではないですから……	네, 넷!…열심히 할께요. 기분 좋은 일은 그…… 싫지는 않거든요…
……あ、えっと、その……は、はい……えっと……えへへ……	……아, 음 그……네, 네……음……에헤헤……
笑って誤魔化そうとしてるなぁ……たくさんしたことあるの？	웃어서 얼버무리려 하고 있네…… 한 적이 많은 거야?
……そ、そうですね……そうかもしれません。ご、ご主人様のご想像にお任せします……	……그, 그렇네요……그럴지도 몰라요. 주, 주인님의 상상에 맡길게요……
だ、だってこれは、ご主人様がっ……淫乱なんかじゃ、ありませんようっ！	그, 그치만 이건, 주인님이…… 음란한 게, 아니에요!
普通の女の子よりも、その……え、エッチな事は好きなのかもしれませんけど……うぅ～っ……	평범한 여자들보다는 그……. 야, 야한 일을 좋아할지도 모르지만요……우우~웃…
え、え～っと……男の人から、その……してほしい事があったら、何でもします……わたしから責めたりもします、わたしに興奮してくれてるの、嬉しいから……	으, 으~음……남자가, 그……원하는 것이 있으면, 뭐든지 해요……제가 꾸짖기도 해요, 저에게 흥분해 주는 거, 기쁘니까……
でも、やっぱり、その……うぅっ……恥ずかしいですけど……い、苛められたり、苛めてもらったりするほうが、好き……でしょうか？	그래도, 역시, 그……우웃……부끄럽지만요……괴, 괴롭히거나 괴롭혀지는 걸, 좋아……하세요?
そ、そんなことはっ！　どっちでもないと思いますけど……でも、あう……わたしに向いてるのは、そっちなのかなぁ……	그, 그런 건! 어느 쪽도 아니라고 생각하지만요……그래도, 아우……저에게 맞는 건, 그쪽인 걸까……
うぅ～っ……こんな格好で、わたし、何を言っているのでしょうか……ご主人様ったら、えっちなんですからぁ……もうっ……	우우~웃……이런 모습으로 저, 무슨 말을 하고 있는 건가요……주인님도 참, 야하다니까요……정말……
うぅっ……えっちな格好させて……そ、そんな変態な事まで……き、聞くのですね……変態さんですぅ……	우웃…… 야한 모습을 시키고…… 그, 그런 변태같은 것까지…… 무, 묻는 거네요…… 변태씨네요……
…………い、一度だけ……お、お尻でえっちしたことあります……	…………하, 한 번이지만…… 어, 엉덩이로 섹스한 적 있어요……
下品です、下品ですようっ……！　そんな言葉、使わないで下さいっ！	저질이에요, 저질이라구요……! 그런 말, 쓰지 말아 주세요!
ごめんごめん……で、どんな風に？	미안 미안…… 그래서, 어떤 식으로?
…………一度だけ……あうう、だって、したいって言ったから……うぅ～っ……	…………한 번 뿐이지만……아우우, 그게, 하고 싶다고 해서……우우~웃……
……お、おまんこのぬるぬるを、おちんちんに塗りつけて……お、おしり……はううっ……ぐりぐりって、みちみちって……はううっ……	……보, 보지의 끈적끈적한 걸, 자지에 발라서……어, 엉덩이……하우웃……둥글둥글해지게, 들어와서……하우웃……
ふふ、こんな格好して、興奮しちゃってるの……？	후후, 이런 모습으로, 흥분하고 있는 건가……?
うぅっ……だって、そういうことを聞きたいのかなって、お、思ったからぁ……うぅ～っ……	우웃…… 그게, 그런 걸 듣고 싶은 거라고, 새, 생각했으니까요…… 우우~웃……
……気持ちよかった？	……기분 좋았어?
…………は、はい……最初は、痛かったですけど……はううっ……えっと、えっと……その……	…………네, 네……처음은, 아팠지만요……하우웃……음, 음……그……
あれ、もしかして、普通におまんこではしたことない、とか？	어라, 혹시, 평범하게 보지로는 한 적 없다, 든지?
は、はい……おまんこで、したこと……無いです……	네, 네…… 보지로, 한 적…… 없어요……
あ、あのっ……は、はいっ……し、したこと……ありますぅ……	저, 저깃!…… 네, 넷!…… 하, 한 적…… 있어요……
